Publication,Category,Format,Date,Category 2,Description,Category 3,URL
"NYC Landmarks Preservation Commission Designation report for Fort Washington Presbyterian Church, Borough of Manhattan",Landmarks,"Designation Report for Fort Washington Presbyterian Church, Borough of Manhattan",12-May-09,Housing and Buildings,"NYC Landmarks Preservation Commission Designation report for Fort Washington Presbyterian Church, Borough of Manhattan",Staff Report,http://nyc.gov/html/records/pdf/govpub/4880ft_washington_desig_rep.pdf
"NYC Landmarks Preservation Commission - Fillmore Place Historic District, Borough of Brooklyn",Landmarks,"Designation Report for Fillmore Place Historic District, Borough of Brooklyn designated by the NYC Landmarks Preservation Commission on May 12, 2009",12-May-09,Housing and Buildings,"NYC Landmarks Preservation Commission - Fillmore Place Historic District, Borough of Brooklyn",Staff Report,http://nyc.gov/html/records/pdf/govpub/4879fillmore_place_final_report.pdf
DOB Amendment NFPA 13,Buildings,"Department of Buildings adds a new Chapter 3600, Subchapter Q and Section 3616-01 to Title 1 of the Official Compilation of the Rules of the City of New York, regarding a National Fire Protection Association 13 (Elevator Hoistways And Machine Rooms) amend",30-Apr-09,Housing and Buildings,DOB Amendment NFPA 13 Rule,Legislative Document,http://nyc.gov/html/records/pdf/govpub/4875dob_nfpa_13_rule_4-30-09.pdf
FGC RS Rule,Buildings,"A new chapter is added to Chapter 3600, Subchapter Q and Section 3616-01 to Title 1 of the Official Compilation of the Rules of the City of New York, regarding a National Fire Protection Association 13 (Elevator Hoistways And Machine Rooms) amendment.",30-Apr-09,Housing and Buildings,FGC RS Rule,Legislative Document,http://nyc.gov/html/records/pdf/govpub/4874fgc_rs_rule_4-30-09_mp.pdf
Quarterly Report on Homeless Deaths # 14,Health and Mental Hyg.,This report has been prepared and submitted pursuant to Local Law 63 of 2005 (LL63) amending the Administrative Code of the City of New York to track and report deaths of homeless persons in the City of New York. Data contained in this report are for the ,02-Apr-09,Health,Quarterly Report on Homeless Deaths # 14,Report,http://nyc.gov/html/records/pdf/govpub/4872ll63_q14_oct-dec_08_final.pdf
30-Day Family Permanency Conference,Children's Services,Overview of the meeting that involves parents and stakeholders after the 30th day of a child's placement in Foster Care.,01-Feb-01,Human Services,30-Day Family Permanency Conference,Guide - Manual,http://nyc.gov/html/records/pdf/govpub/48330_day_family.pdf
Sexual Harrassment-What it is. WEhat can you do about it. A Guide for Employees,Children's Services,A guide for ACS employees on sexual harassment in the workplace.,01-Feb-02,Human Services,Sexual Harrassment-What it is. What can you do about it.  A Guide for Employees,Guide - Manual,http://nyc.gov/html/records/pdf/govpub/482sexual_guide_for_employees.pdf
Preventing Sexual Harassment in the Workplace-A Guide for Supervisors and Managers,Children's Services,A guide for ACS Management on sexual harrassment in the workplace.,01-Feb-02,Human Services,Preventing Sexual Harassment in the Workplace-A Guide for Supervisors and Managers,Guide - Manual,http://nyc.gov/html/records/pdf/govpub/481sexual_guide_for_supervisor.pdf
Workers' compensation Claims - 2008,Law Department,Annual report of workers' compensation claims for 2008,27-Apr-09,Labor Relations,Workers' Compensation Claims - 2008,Annual Report,http://nyc.gov/html/records/pdf/govpub/4805city_council_report_2008.pdf
New York Public Library Hunts Point Branch Branch - Designation Report,Landmarks,NYC Landmarks Preservation Commission designated NYPL Hunts Point Branch as a NYC Landmark.,14-Apr-09,Housing and Buildings,New York Public Library Hunts Point Branch Branch - Designation Report,Staff Report,http://nyc.gov/html/records/pdf/govpub/4803nypl_huntspoint_desig_rep.pdf
"New York Public Library, Woodstock Branch",Landmarks,"NYC Landmarks Preservation Commission's Designation Report NYPL Woodstock Branch, Borough of the Bronx",14-Apr-09,Housing and Buildings,"New York Public Library, Woodstock Branch",Staff Report,http://nyc.gov/html/records/pdf/govpub/4802nypl_woodstock_desig_rep.pdf
Agency Language Access Implementation Plan,Health and Mental Hyg.,"The following implementation plan presents the steps that the New York City Department of Health and Mental Hygiene (DOHMH) will take in order to comply with Executive Order 120 of 2008, which seeks to provide meaningful language access to agency public s",30-Mar-09,Human Services,Agency Language Access Implementation Plan,Report,http://nyc.gov/html/records/pdf/govpub/4800dohmh_language_access_plan(submitted_mar2009).pdf
Health Services in Foster Care,Children's Services,Overview of health services for children in foster care in NYC.,01-Jun-02,Human Services,Health Services in Foster Care,Guide - Manual,http://nyc.gov/html/records/pdf/govpub/479health_services_foster_care.pdf
Department of Buildings Construction Code Update # 2,Buildings," Attached are Construction Codes Update Pages. These pages reflect local laws enacted and ministerial administrative corrections made after July 1, 2008. ",01-Jul-08,Housing and Buildings,Department of Buildings Construction Code Update # 2,Legislative Document,http://nyc.gov/html/records/pdf/govpub/4796cc_update_2-ll24-08[1].pdf
2/28/09 Quarterly Provisional Report,Citywide Admin Svcs,The Department of Citywide Administrative Services 22a Charter Provisional Report on Provisionals within City agencies as of 2/28/09 ,28-Feb-09,Labor Relations,2/28/09 Quarterly Provisional Report,Serial Publication,http://nyc.gov/html/records/pdf/govpub/4795rpt22adoris.pdf
Law Dept. Annual Report FY 2008,Law Department,The Law Department's Annual Report highlights the fiscal year's significant cases. The report also describes the specific cases and work for each of the department's 17 divisions. ,13-Mar-08,Government Policy,Law Dept. Annual Report FY 2008,Annual Report,http://nyc.gov/html/records/pdf/govpub/4794ar08_20web.pdf
Department of Buildings Construction Code Update # 13,Buildings,"Attached are Construction Codes Update Pages. These pages reflect local laws enacted and ministerial administrative corrections made after December 22, 2008.",22-Dec-08,Housing and Buildings,Department of Buildings Construction Code Update # 13,Legislative Document,http://nyc.gov/html/records/pdf/govpub/4792cc_update_13-l46-08[1].pdf
Department of Buildings Construction Code Update # 12,Buildings,"Attached are Construction Codes Update Pages. These pages reflect local laws enacted and ministerial administrative corrections made after October 4, 2008.",04-Oct-08,Housing and Buildings,Department of Buildings Construction Code Update # 12,Legislative Document,http://nyc.gov/html/records/pdf/govpub/4791cc_update_12-ll45-08[1].pdf
Department of Buildings Construction Code Update # 11,Buildings,"Attached are Construction Codes Update Pages. These pages reflect local laws enacted and ministerial administrative corrections made after March 23, 2008.",23-Mar-08,Housing and Buildings,Department of Buildings Construction Code Update # 11,Legislative Document,http://nyc.gov/html/records/pdf/govpub/4790cc_update_11-ll44-08[1].pdf
Department of Buildings Construction Code Update # 10,Buildings,"Attached are Construction Codes Update Pages. These pages reflect local laws enacted and ministerial administrative corrections made after December 2, 2008.",02-Dec-08,Housing and Buildings,Department of Buildings Construction Code Update # 10,Legislative Document,http://nyc.gov/html/records/pdf/govpub/4789cc_update_10-ll41-08[1].pdf
Department of Buildings Construction Code Update # 9,Buildings,"Attached are Construction Codes Update Pages. These pages reflect local laws enacted and ministerial administrative corrections made after January 1, 2008.",01-Jan-08,Housing and Buildings,Department of Buildings Construction Code Update # 9,Legislative Document,http://nyc.gov/html/records/pdf/govpub/4788cc_update_9-ll40-08[1].pdf
Department of Buildings Construction Code Update # 8,Buildings,"Attached are Construction Codes Update Pages. These pages reflect local laws enacted and ministerial administrative corrections made after February 9, 2008.",09-Feb-08,Housing and Buildings,Department of Buildings Construction Code Update # 8,Legislative Document,http://nyc.gov/html/records/pdf/govpub/4787cc_update_8-ll37-08[1].pdf
Department of Buildings Construction Code Update # 7,Buildings,"Attached are Construction Codes Update Pages. These pages reflect local laws enacted and ministerial administrative corrections made after August 12, 2008.",12-Aug-08,Housing and Buildings,Department of Buildings Construction Code Update # 7,Legislative Document,http://nyc.gov/html/records/pdf/govpub/4786cc_update_7-ll34-08[1].pdf
Department of Buildings Construction Code Update # 6,Buildings,"Attached are Construction Codes Update Pages. These pages reflect local laws enacted and ministerial administrative corrections made after February 9, 2008.",09-Feb-08,Housing and Buildings,Department of Buildings Construction Code Update # 6,Legislative Document,http://nyc.gov/html/records/pdf/govpub/4785cc_update_6-ll33-08[1].pdf
Department of Buildings Construction Code Update # 5,Buildings,"Attached are Construction Codes Update Pages. These pages reflect local laws enacted and ministerial administrative corrections made after September 29, 2008. ",28-Sep-08,Housing and Buildings,Department of Buildings Construction Code Update # 5,Legislative Document,http://nyc.gov/html/records/pdf/govpub/4784cc_update_5-ll29-08[1].pdf
Department of Buildings Construction Code Update # 4,Buildings,"Attached are Construction Codes Update Pages. These pages reflect local laws enacted and ministerial administrative corrections made after July 1, 2008. ",01-Jul-08,Housing and Buildings,Department of Buildings Construction Code Update # 4,Legislative Document,http://nyc.gov/html/records/pdf/govpub/4783cc_update_4-ll27-08[1].pdf
Department of Buildings Construction Code Update # 3 ,Buildings,"Attached are Construction Codes Update Pages. These pages reflect local laws enacted and ministerial administrative corrections made after July 1, 2008. ",01-Jul-08,Housing and Buildings,Department of Buildings Construction Code Update # 3 ,Legislative Document,http://nyc.gov/html/records/pdf/govpub/4782cc_update_3-ll26-08[1].pdf
Department of Buildings Construction Code Update # 2,Buildings,"Attached are Construction Codes Update Pages. These pages reflect local laws enacted and ministerial administrative corrections made after July 1, 2008. ",01-Jul-08,Housing and Buildings,Department of Buildings Construction Code Update # 2,Legislative Document,http://nyc.gov/html/records/pdf/govpub/4781cc_update_2-ll24-08[1].pdf
Department of Buildings Construction Code Update # 1,Buildings,"Attached are Construction Codes Update Pages. These pages reflect local laws enacted and ministerial administrative corrections made after July 1, 2008.",01-Jul-08,Housing and Buildings,Department of Buildings Construction Code Update # 1,Legislative Document,http://nyc.gov/html/records/pdf/govpub/4780cc_update_1-ministerialadmincorrection[1].pdf
Six Years of Reform Services-1996-2002 Reform Update,Children's Services,Overview of ACS's reform intiatives and achievements in the past six years.,01-Oct-02,Human Services,Six Years of Reform Services-1996-2002 Reform Update,Report,http://nyc.gov/html/records/pdf/govpub/477six_years_of_reform.pdf
Housing Subsidy Program,Children's Services,Overview of ACS' Housing Subsidy Program.,01-Jul-02,Human Services,Housing Subsidy Program,Guide - Manual,http://nyc.gov/html/records/pdf/govpub/476housing_subsidy_program.pdf
808 Columbus Avenue Report of Investigation,Buildings,"The Department of Building’s Forensic Engineering Unit led an investigation to ascertain the cause of the sheeting failure at 808 Columbus Avenue. The Department was assisted by Stephen Young, P.E., and Dr. Chris Snee, C Eng, CPG, from Arup Engineering, a",15-Feb-08,Housing and Buildings,808 Columbus Avenue Report of Investigation,Report,http://nyc.gov/html/records/pdf/govpub/4758808columbusave_roi[1].pdf
"NYC Landmarks Preservation Commission Designation Report for New York Botanixal Garden Museum (now Library Bldg, Fountain of Life and Tulip Tree Allee",Landmarks,"NYC Landmarks Preservation Commission Designation Report for New York Botanical Garden Museum (now Library) Building, Fountain of Life, and Tulip Tree Allee, Borough of the Bronx",24-Mar-09,Housing and Buildings,"NYC Landmarks Preservation Commission Designation Report for New York Botanixal Garden Museum (now Library Bldg, Fountain of Life and Tulip Tree Allee",Staff Report,http://nyc.gov/html/records/pdf/govpub/4753nybg_report.pdf
NYC Landmarks Preservation Commission Designation Report for RUTAN JOURNEAY HOUSE,Landmarks,"NYC Landmark Designation Report for the Rutan Journeay House, Borough of Staten Island",24-Mar-09,Housing and Buildings,NYC Landmarks Preservation Commission Designation Report for RUTAN JOURNEAY HOUSE,Staff Report,http://nyc.gov/html/records/pdf/govpub/4752rutan_journeay_house_desig_rep.pdf
