Agency,Indicator Name,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
QPL,Libraries open seven days per week (%),4%,5%,3%,5%,6%,10%,6%,2%,3%,3%
QPL,Libraries open six days per week (%),66%,25%,27%,30%,37%,100%,100%,76%,38%,32%
QPL,Library card holders (000),,,918,898,792,827,874,889,902,884
QPL,Program attendance,"470,702","458,709","491,601","494,765","455,815","539,347","596,914","550,355","598,931","712,849"
QPL,Program sessions,"22,072","21,549","23,836","24,440","21,865","28,358","30,187","26,592","29,638","37,717"
QPL,Reference queries (000),"3,564","3,453","3,440","3,488","3,512","3,892","3,841","3,612","3,177","2,929"
QPL,Total library attendance (000),"15,985","14,584","14,334","14,255","13,474","14,892","14,499","14,127","12,966","12,681"
SBS,Annual Minority and Women-owned Business Enterprise recertification rate,,,,26.00%,59.10%,62.70%,78.20%,70.20%,49.40%,62.50%
SBS,Average acceptably clean BID sidewalk ratings (%),96.20%,97.50%,98.10%,98.10%,98.90%,98.90%,99.20%,99.10%,99.00%,99.00%
SBS,Estimated dollar value of energy savings for businesses approved for ECSP benefits ($000),"$1,053 ","$1,322 ","$1,660 ","$1,220 ","$2,026 ","$4,414 ","$1,115 ",$967 ,$433 ,$597 
SBS,Number of City contracts awarded to M/WBEs,,,,,"4,600","5,762","5,892","6,173","6,564","8,496"
SBS,Number of City contracts awarded to M/WBEs after receiving direct assistance from DEFO,,,,,"3,235","4,264","3,949","4,707","4,856","5,391"
SBS,Number of M/WBEs awarded City contracts,,,,,,418,427,485,529,633
SBS,Number of M/WBEs awarded City contracts after receiving direct assistance from DEFO,,,,,,337,318,356,378,439
SBS,Number of businesses awarded NYC Business Solutions training funds,,,,24,15,23,34,42,16,26
SBS,Number of commercial tenants taking advantage of Lower Manhattan Energy Program (cumulative),787,996,"1,149","1,363","1,414","1,428","1,496","1,458","1,403","1,403"
SBS,Number of jobs retained by Energy Cost Savings Program (ECSP) for approved businesses,"5,311","4,506","11,874","5,160","6,210","8,647","6,915","4,656","1,083","2,521"
SBS,Number of new Locally-based Enterprise certifications,34,42,60,30,31,28,20,14,15,26
SBS,Number of new Minority and Women-owned Business Enterprise certifications,223,303,362,379,452,550,611,636,549,"1,022"
SBS,Number of new businesses served by NYC Business Solutions,,,,,"9,830","7,632","7,236","7,766","6,306","8,763"
SBS,Number of new jobseekers registered through the Workforce1 system,,,"23,834","28,175","41,671","58,795","94,382","97,755","80,083","73,518"
SBS,Number of unique businesses receiving financing awards facilitated by NYC Business Solutions,,,,,,165,252,514,627,588
SBS,Number of unique businesses served by NYC Business Solutions,,,,,,"9,235.00","8,999.00","8,957.00","10,247.00","8,696.00"
SBS,Recruit-to-hire ratio for job placements made through accounts managed by NYC Business Solutions Hiring,,,,,4:01,3:01,3:01,3:01,3:01,3:01
SBS,Total Minority and Women-owned Business Enterprises certified,760,850,955,"1,035","1,236","1,604","2,200","2,791","3,244","3,526"
SBS,Total city blocks receiving supplemental sanitation services through BIDs,,,,,"1,091","1,162","1,262","1,262","1,262","1,468"
SBS,Total number of financing awards facilitated by NYC Business Solutions,,,,,134,176,264,575,710,683
SBS,Total value of financing awards facilitated by NYC Business Solutions ($000),,,,"$14,285 ","$19,395 ","$11,931 ","$24,837 ","$29,528 ","$39,840 ","$71,484 "
SBS,Value of AvenueNYC (local development corps.) funding ($ millions),$2.70 ,$2.90 ,$2.80 ,$2.80 ,$2.80 ,$2.78 ,$3.27 ,$2.21 ,$1.80 ,$1.74 
SBS,Value of Lower Manhattan Energy Program (LMEP) savings for commercial tenants ($000),"$18,868 ","$18,199 ","$19,797 ","$18,715 ","$28,129 ","$28,510 ","$32,313 ","$31,938 ","$24,915 ","$25,032 "
SBS,Workforce1 systemwide job placements,,,"6,195","12,637","17,218","17,149","19,386","29,456","32,854","30,900"
TLC,Average days to receive a for-hire vehicle driver's license from initial application,,,,,21,22.5,20,19.9,16.5,21.5
TLC,Average days to receive a medallion driver's license from initial application,,,,,56.6,56.5,55.1,53.4,55.2,50.9
TLC,Average time to close a consumer complaint (calendar days): For-hire vehicle,33,44.3,48.7,44,47.3,23.8,28.2,31.3,44.3,54.4
TLC,Average time to close a consumer complaint (calendar days): Medallion,29.7,32.6,50.5,25.8,22.2,23.7,26.5,34.1,44,38
TLC,Average time to conduct a safety and emissions inspection of a medallion taxi (hours:minutes),,,,,1:07,1:06,1:09,1:12,1:11,1:18
TLC,Average wait time at Long Island City licensing facility (hours: minutes),0:59,0:36,0:29,0:20,0:33,0:31,0:20,0:20,0:18,0:23
TLC,Medallion enforcement: Operation Refusal compliance rate (%),,,,,,,,,,79.50%
TLC,Medallion safety & emissions failure rate - Initial inspection (%),43.80%,52.80%,51.70%,51.50%,47.60%,45.50%,42.30%,42.10%,38.40%,33.50%
TLC,Medallion safety & emissions failure rate - Re-Inspection (%),16.70%,20.40%,27.30%,24.90%,20.20%,17.10%,13.20%,12.80%,9.70%,9.10%
TLC,Medallion safety and emissions inspections conducted - Total,"51,461","56,647","61,571","60,969","58,532","58,311","56,812","55,744","53,362","51,658"
TLC,Medallion summonses issued for non-inspection - Total,"2,440","2,604","2,951","3,060","2,431","2,243","2,233","1,964","1,929","1,815"
TLC,Percent of medallion safety and emissions inspections completed on time,,,,,90.00%,80.20%,92.20%,95.50%,94.40%,95.90%
TLC,Percent of medallions that fail safety inspection - Initial inspection,,,,,,,,15.60%,13.70%,7.90%
TLC,Street hail summonses issued to non-medallion vehicle drivers,"3,553","4,453","2,541","1,184","1,260","1,560",991,"1,323","6,507","10,783"
TLC,Unlicensed for-hire vehicle bases - padlocked proceedings initiated,9,11,10,45,50,47,59,29,28,15
