Organization Name,Zip Code,Main Phone #,Discipline Code,Council District,Community Board,Borough,Location 1
"Early Stages Program, Inc.",10011,(917) 842-2572,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"27 20th Street
New York, NY
(40.60581590385937, -74.00175764968063)"
East Harlem Arts & Education Local Development Corporation,10029,(212) 427-2244,,,Manhattan Community Board #11,Manhattan,"1 104th Street
New York, NY
(40.79679010649076, -73.96101339142336)"
"East New York United Concerned Citizens, Inc.",11207,(347) 240-3049,"Multi-Discipline, Performing",Brooklyn Council District #42,Brooklyn Community Board #5,Brooklyn,
"East River Ensemble, Inc.",11211,(718) 387-5179,Theater,Brooklyn Council District #33,Brooklyn Community Board #1,Brooklyn,"103 Berry Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
"East Winds, Inc.",10034,(646) 418-8808,Music,Manhattan Council District #7,Manhattan Community Board #12,Manhattan,"55 Park Terrace
New York, NY
(40.71377947510291, -74.0103252273763)"
"Edge Theater Company, Inc.",10022,(212) 350-7244,Theater,Manhattan Council District #4,Manhattan Community Board #6,Manhattan,"880 Third Avenue
New York, NY
(40.7578884378953, -73.9692433721059)"
"Education Through Music, Inc.",10168,(212) 972-4788,Music,Manhattan Council District #4,Manhattan Community Board #5,Manhattan,"122 42nd Street
New York, NY
(40.654576347201456, -74.01398908987908)"
"Educational Alliance, Inc.",10002,(212) 780-2300 x324,Visual Arts,Manhattan Council District #1,Manhattan Community Board #3,Manhattan,"197 Broadway
New York, NY
(40.87333788079353, -73.91157107750263)"
Educational Broadcasting Corporation,10001,(212) 560-1321,Film/Video/Audio,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"450 33rd Street
New York, NY
(40.75347794565972, -73.99864692871675)"
"Educational Theater of New York, Inc.",10017,(646) 733-7685,Theater,Manhattan Council District #4,Manhattan Community Board #6,Manhattan,"140 46th Street
New York, NY
(40.589614355159554, -73.98750435578158)"
"Educational Video Center, Inc.",10001,(212) 465-9366,Film/Video/Audio,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"120 30th Street
New York, NY
(40.658729456645666, -74.00269739181856)"
"Either/Or, Inc.",10022,(646) 331-5895,Music,Manhattan Council District #4,Manhattan Community Board #6,Manhattan,"225 57th Street
New York, NY
(40.644858541308636, -74.02042422744906)"
El Mundo del Flamenco NY Center for Flamenco,10007,(917) 667-2695,Dance,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,
El Taller Latino Americano,10025,(212) 665-9460,Film/Video/Audio,Manhattan Council District #8,Manhattan Community Board #7,Manhattan,"1261 New
York, NY
(43.20390300022325, -76.94420299966868)"
Elaine Kaufman Cultural Center/Lucy Moses School for Music and Dance,10023,(212) 501-3313,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,"129 67th Street
New York, NY
(40.63938242063947, -74.02942209810556)"
"Elder Craftsmen, Inc.",10001,(212) 319-8128 x10,Visual Arts,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"307 Seventh Avenue
New York, NY
(40.74698865490018, -73.99355204655791)"
Elders Share the Arts,11217,(718) 398-3870 x105,"Multi-Discipline, Non-Perform",Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn,"138 Oxford Street
Brooklyn, NY
(40.57919497088509, -73.93801486860956)"
"Eldridge Street Project, Inc.",10002,(212) 219-0888 x203,Museum,Manhattan Council District #1,Manhattan Community Board #3,Manhattan,"12 Eldridge Street
New York, NY
(40.714837892352705, -73.9936599652014)"
Electronic Arts Intermix,10011,(212) 337-0680 x14,Film/Video/Audio,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"535 22nd Street
New York, NY
(40.74748642779187, -74.00572937603022)"
"Electronic Music Foundation, Inc.",10001,(518) 434-4110,Music,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"307 Seventh Ave
New York, NY
(40.74698865490018, -73.99355204655791)"
"Elevator Repair Service Theater, Inc.",11217,(718) 783-1905,Theater,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn,"138 Oxford Street
Brooklyn, NY
(40.57919497088509, -73.93801486860956)"
Elizabeth Foundation for the Arts,10018,(212) 563-5855,Visual Arts,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"323 39th Street
New York, NY
(40.65350154320374, -74.00756842931793)"
"Ellen Beckerman & Company, Inc.",10038,(212) 346-0020,Theater,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,"64 Fulton Street
New York, NY
(40.70886639407814, -74.00517128717644)"
"Elmcor Youth & Adult Activities, Inc.",11368,(718) 651-0096,Music,Queens Council District #21,Queens Community Board #3,Queens,"33 16 108 Street
Corona, NY
(40.75257899982097, -73.85259799999767)"
Emerald Isle Immigration Center,11377,(718) 478-5502,"Multi-Discipline, Non-Perform",Queens Council District #26,Queens Community Board #1,Queens,"59 26 Woodside Ave
Woodside, NY
(42.52183600033112, -78.76537200011768)"
Emerging Artists Theatre Company,10001,(212) 247-2429,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"15 28th Street
New York, NY
(40.60244756215898, -73.9956586422773)"
"En Foco, Inc.",10461,(718) 931-9311,Photography,Bronx Council District #13,Bronx Community Board #11,Bronx,"1738 Hone Avenue
Bronx, NY
(40.84804863826081, -73.85401962535374)"
"Enact, Inc.",10036,(212) 741-6591 x12,"Multi-Discipline, Performing",Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"630 Ninth Avenue
New York, NY
(40.75999274901747, -73.99144337685128)"
"Encompass Theatre Company, Inc.",11217,(718) 398-4675,Music,,Manhattan Community Board #2,Manhattan,"138 Oxford Street
Brooklyn, NY
(40.57919497088509, -73.93801486860956)"
English-Speaking Union of the U.S.,10016,(212) 818-1200 x218,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #4,Queens Community Board #6,Manhattan,"144 39th Street
New York, NY
(40.6559973355382, -74.01172946004714)"
"Enrichment Through the Arts, Inc.",10314,(718) 982-5678,Theater,Staten Island Council Dist #50,Staten Island Community Brd #2,Staten Island,"11 Borman Avenue
Staten Island, NY
(40.59231010252038, -74.15437950698396)"
"Ensemble Studio Theatre, Inc.",10019,(212) 247-4982 x15,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"549 52nd Street
New York, NY
(40.6433534463604, -74.01038546761048)"
Ensemble for the Romantic Century,10028,(212) 288-8020,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #4,Manhattan Community Board #8,Manhattan,"24 82nd Street
New York, NY
(40.62851235408067, -74.039024051868)"
"Epic Theatre Center, Inc.",10024,(212) 239-1770,Theater,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,"720 New
York, NY
(43.20390300022325, -76.94420299966868)"
"Epiphany Theater Company, Inc.",10014,(646) 638-0252,Theater,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,"154 Christopher Street
New York, NY
(40.73277459667643, -74.00787725874181)"
"Equus Projects, Inc.",10011,(212) 924-1336,Dance,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"121 17th St
New York, NY
(40.60515903337217, -74.00601734227398)"
Errol Grimes Dance Group,11205,(718) 596-0560,Dance,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn,"50 Taaffe Place
Brooklyn, NY
(40.697457827812094, -73.96089036740689)"
Esopus Foundation Ltd.,10012,(212) 473-0919,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #2,Manhattan,"64 3rd Street
New York, NY
(40.756053999992105, -73.9869510002884)"
"Esperanza del Barrio, Inc.",10035,(212) 289-9025,"Multi-Discipline, Non-Perform",Manhattan Council District #8,Manhattan Community Board #11,Manhattan,"2290 Second Avenue
New York, NY
(40.79801618684263, -73.93702965701635)"
Ethel's Foundation for the Arts,10019,(212) 414-8050,Music,Manhattan Council District #6,Manhattan Community Board #4,Manhattan,"331 57th Street
New York, NY
(40.643344713142305, -74.0179193420287)"
"Eugenio Maria de Hostos Community College Foundation, Inc.",10451,(718) 518-4300,"Multi-Discipline, Performing",Bronx Council District #17,Bronx Community Board #1,Bronx,"475 Grand
Bronx, NY
(40.82557699997852, -73.91844899972153)"
"Eva Dean Dance Company, Inc.",11215,(718) 857-8368,Dance,Brooklyn Council District #33,Brooklyn Community Board #6,Brooklyn,"725 Union Street
Brooklyn, NY
(40.67657017181412, -73.9807886348393)"
"Evidence, Inc.",11217,(718) 230-4633,Dance,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn,"80 Hanson Place
Brooklyn, NY
(40.68548942065365, -73.97430272490843)"
"Ex.Pgirl, Inc.",11215,(212) 647-0202,"Multi-Discipline, Performing",Manhattan Council District #3,Manhattan Community Board #2,Manhattan,"366 13th Street
Brooklyn, NY
(40.60278568739579, -74.01341452327142)"
"Exit Art/The First World, Inc.",10018,(212) 966-7745 x11,Visual Arts,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"475 Tenth Avenue
New York, NY
(40.75615614809909, -73.99805752322831)"
"Exploring the Metropolis, Inc.",10028,(212) 650-0211,"Multi-Discipline, Performing",Manhattan Council District #5,Manhattan Community Board #8,Manhattan,"10 Gracie Square
New York, NY
(40.773284831036904, -73.94492570443362)"
"Eyebeam Atelier, Inc.",10011,(212) 937-6580 x33,New Media,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"540 21st Street
New York, NY
(40.74696868036786, -74.00652751764476)"
FJC,10018,(212) 714-0001,,,,Manhattan,"520 Eighth Avenue
New York, NY
(40.75376054978079, -73.99232896859803)"
FRIGID New York Inc.,10003,(917) 270-0608,Theater,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,"85 4th Street
New York, NY
(40.57285948879647, -74.11932555628515)"
Falconworks Artists Group,11231,(718) 395-3218,Theater,Brooklyn Council District #38,Brooklyn Community Board #6,Brooklyn,
"Fantastic Experimental Latino Theater, Inc.",10002,(212) 228-3705,Theater,Manhattan Council District #1,Manhattan Community Board #3,Manhattan,"107 Suffolk Street
New York, NY
(40.719521874540526, -73.98583731954874)"
"Fashion Center District Management Association, Inc.",10018,(212) 764-9600,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"209 38th Street
New York, NY
(40.594168995048776, -73.99225269087863)"
"Federation Employment & Guidance Service, Inc.",10013,(212) 366-8032,Theater,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,"315 Hudson Street
New York, NY
(40.72636283816059, -74.00749200433894)"
Feminist Press at City University of New York,10016,(212) 817-7929,Literature,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"365 Fifth Avenue
New York, NY
(40.74889692441653, -73.98418977885927)"
Fiasco Theater LTD,10016,(646) 845-9073,Theater,Manhattan Council District #3,Manhattan Community Board #6,Manhattan,"80 Madison Ave
New York, NY
(40.744164783728195, -73.98556606693768)"
"Fiction, Inc.",10031,(212) 966-3659,Literature,Manhattan Council District #1,Manhattan Community Board #2,Manhattan,
Figure Skating in Harlem,10027,(646) 698-3440,Other,Manhattan Council District #7,Manhattan Community Board #10,Manhattan,"361 125th Street
New York, NY
(40.793476982754974, -73.84252702768215)"
Fiji Theatre Company,10012,(212) 529-1557 x202,Theater,Manhattan Council District #1,Manhattan Community Board #2,Manhattan,"47 Great Jones Street
New York, NY
(40.726726929580025, -73.99250883300391)"
"Film Forum, Inc.",10014,(212) 627-2035 x303,Film/Video/Audio,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,"209 Houston Street
New York, NY
(40.72235737855904, -73.98706539201545)"
"Fist and Heel Performance Group, Inc.",11217,(718) 270-6979,Dance,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn,"476 Dean Street
Brooklyn, NY
(40.68154921595825, -73.97471059095261)"
"Five Boroughs Music Festival, Inc.",10159,(917) 882-5394,Music,Manhattan Council District #2,Manhattan Community Board #6,Manhattan,"1925 New
York, NY
(43.20390300022325, -76.94420299966868)"
"Five Myles, Inc.",10012,(718) 783-4438,Visual Arts,Brooklyn Council District #35,Brooklyn Community Board #8,Brooklyn,"133 Wooster Street
New York, NY
(40.725705522235586, -73.99984998455471)"
"Flamenco Latino, Inc.",10019,(212) 399-8519,"Multi-Discipline, Performing",Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"250 54th Steet
New York, NY
(40.64616305029869, -74.0181587256739)"
"Flea Theater, Inc.",10013,(212) 226-0051 x104,"Multi-Discipline, Performing",Manhattan Council District #1,Manhattan Community Board #1,Manhattan,"41 White Street
New York, NY
(40.718615044875776, -74.0043529041298)"
Fleadh Foundation,11201,(917) 805-3100,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #33,Brooklyn Community Board #6,Brooklyn,"384 Warren Street
Brooklyn, NY
(40.68477578474859, -73.98967613073295)"
"Fluid Motion Theater & Film, Inc.",10001,(917) 459-8181,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"109 27th Street
New York, NY
(40.6608989252628, -74.00167258198414)"
Flushing Council on Culture and the Arts,11354,(718) 463-7700,"Multi-Discipl, Perf & Non-Perf",Queens Council District #20,Queens Community Board #7,Queens,"137 35 Northern Boulevard
Flushing, NY
(40.76461099979775, -73.8234619999713)"
Flux Factory,11101,(718) 707-3362,Visual Arts,Queens Council District #26,Queens Community Board #1,Brooklyn,"39 31 29th Street
Queens, NY
(40.749436300045204, -73.79729979984586)"
"Flying Fig Theater, Inc.",10013,(212) 691-6969 x13,Theater,,Manhattan Community Board #2,Manhattan,"161 Sixth Avenue
New York, NY
(40.72582760755074, -74.00389424989481)"
"Focal Point Press, Ltd.",10464,(718) 885-1403,Visual Arts,Bronx Council District #12,Bronx Community Board #10,Bronx,"321 City Island Avenue
Bronx, NY
(40.82557699997852, -73.91844899972153)"
Folksbiene Yiddish Theatre,10001,(212) 213-2120,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"135 29th Street
New York, NY
(40.599652327946785, -73.99738402131213)"
"Fordham Road District Management Association, Inc.",10458,(718) 562-2104,"Multi-Discipline, Non-Perform",Bronx Council District #15,Bronx Community Board #5,Bronx,"2530 Grand Concourse
Bronx, NY
(40.86298348345142, -73.89648453112227)"
Forest Hills Symphony Orchestra,11358,(718) 544-7692,Music,Queens Council District #22,Queens Community Board #6,Queens,"160 08 25th Drive
Flushing, NY
(40.76461099979775, -73.8234619999713)"
"Forest Park Trust, Inc.",11421,(718) 235-4151,"Multi-Discipline, Non-Perform",Queens Council District #30,Queens Community Board #9,Queens,"1 Forest Park
Woodhaven, NY
(40.692655000028196, -73.85650300021325)"
"Fort Greene Park Conservancy, Inc.",11217,(718) 398-4024,Humanities,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn,"85 Oxford Street
Brooklyn, NY
(40.57980941753591, -73.93797569492511)"
"Forty Greene Avenue Cultural Center, Inc.",11238,(718) 783-9794,Theater,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn,"54 Greene Avenue
Brooklyn, NY
(40.68616160828173, -73.97043207115573)"
"Forward Motion Theatre, Inc.",11101,(646) 710-0395,"Multi-Discipline, Performing",Queens Council District #26,Queens Community Board #2,Queens,"43 01 21st Street
Long Island City, NY
(40.74468399996658, -73.94850800004417)"
Foundation,10035,(917) 403-6875,Visual Arts,Manhattan Council District #8,Manhattan Community Board #11,Manhattan,"413 120 St
New York, NY
(40.80875349673078, -73.95782042899233)"
"Foundation for Contemporary Arts, Inc.",10014,(212) 807-7077,"Multi-Discipline, Non-Perform",Manhattan Council District #3,Manhattan Community Board #2,Manhattan,"820 Greenwich Street
New York, NY
(40.73832490030511, -74.00649980086536)"
"Foundation for Dance Promotion, Inc.",10027,(212) 426-6655 x111,Dance,Manhattan Council District #9,Manhattan Community Board #10,Manhattan,"27 120th Street
New York, NY
(40.804033768356916, -73.94643713284609)"
"Foundation for Filipino Artists, Inc.",11377,(718) 565-8852,"Multi-Discipl, Perf & Non-Perf",Queens Council District #25,Queens Community Board #2,Queens,"34 67 60th Street
Woodside, NY
(42.52183600033112, -78.76537200011768)"
"Foundation for Independent Artists, Inc.",10018,(212) 278-8111 x301,Dance,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"246 38th Street
New York, NY
(40.59350209076893, -73.99303996689655)"
Foundation for the Advance of Dance,10014,(212) 989-2250,Film/Video/Audio,Manhattan Council District #8,Manhattan Community Board #3,Manhattan,"55 Bethune Street
New York, NY
(40.736934345593895, -74.00830372173004)"
"Foundry Theatre, Inc.",10003,(212) 777-1444,Theater,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,"140 142 Second Avenue
New York, NY
(40.756053999992105, -73.9869510002884)"
