Demographic,DBN,NAME,Total Cohort  - June,Total Math/ELA APM - June,% of Cohort - June,Total Cohort  - August,Total Math/ELA APM - August,% of Cohort - August
Special Education,06M468,HIGH SCHOOL FOR HEALTH CAREERS AND SC,23,1,4.3%,23,1,4.3%
Special Education,06M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,21,1,4.8%,21,1,4.8%
Special Education,06M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIE,.,.,.,.,.,.
Special Education,07X221,SOUTH BRONX PREPARATORY: A COLLEGE BO,10,s,s,10,s,s
Special Education,07X321,CROTONA ACADEMY HIGH SCHOOL,3,s,s,3,s,s
Special Education,07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL,1,s,s,1,s,s
Special Education,07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,5,s,s,5,s,s
Special Education,07X381,BRONX HAVEN HIGH SCHOOL   ,.,.,.,.,.,.
Special Education,07X473,MOTT HAVEN VILLAGE PREPARATORY HIGH S,16,s,s,16,s,s
Special Education,07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,.,.,.,.,.,.
Special Education,07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL ST,25,0,0%,25,0,0%
Special Education,07X527,BRONX LEADERSHIP ACADEMY II HS,17,s,s,17,s,s
Special Education,07X547,NEW EXPLORERS HIGH SCHOOL,13,s,s,13,s,s
Special Education,07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN,11,s,s,11,s,s
Special Education,07X551,BRONX ACADEMY OF LETTERS,14,s,s,14,s,s
Special Education,07X600,ALFRED E. SMITH CAREER AND TECHNICAL,66,0,0%,66,0,0%
Special Education,07X655,SAMUEL GOMPERS CAREER AND TECHNICAL E,74,0,0%,74,0,0%
Special Education,07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,12,s,s,12,s,s
Special Education,08X282,WOMEN'S ACADEMY OF EXCELLENCE,4,s,s,4,s,s
Special Education,08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL T,26,0,0%,26,0,0%
Special Education,08X295,GATEWAY SCHOOL FOR ENVIRONMENTAL RESE,25,0,0%,25,0,0%
Special Education,08X305,PABLO NERUDA ACADEMY FOR ARCHITECTURE,21,0,0%,21,0,0%
Special Education,08X312,MILLENNIUM ART ACADEMY,23,1,4.3%,23,1,4.3%
Special Education,08X332,HOLCOMBE L. RUCKER SCHOOL OF COMMUNIT,10,s,s,10,s,s
Special Education,08X377,BRONX COMMUNITY HIGH SCHOOL,10,s,s,10,s,s
Special Education,08X405,HERBERT H. LEHMAN HIGH SCHOOL,172,3,1.7%,172,4,2.3%
Special Education,08X450,ADLAI E. STEVENSON HIGH SCHOOL,7,s,s,7,s,s
Special Education,08X452,BRONX GUILD,14,s,s,14,s,s
Special Education,08X519,FELISA RINCON DE GAUTIER INSTITUTE FO,21,0,0%,21,0,0%
Special Education,08X540,SCHOOL FOR COMMUNITY RESEARCH AND LEA,20,s,s,20,s,s
Special Education,08X560,HIGH SCHOOL X560 - BRONX ACADEMY HIGH,18,s,s,18,s,s
Special Education,08X650,JANE ADDAMS HIGH SCHOOL FOR ACADEMIC,87,0,0%,87,0,0%
Special Education,08X686,NEW SCHOOL FOR ARTS AND SCIENCES,1,s,s,1,s,s
Special Education,09X227,BRONX EXPEDITIONARY LEARNING HIGH SCH,17,s,s,17,s,s
Special Education,09X231,EAGLE ACADEMY FOR YOUNG MEN,18,s,s,18,s,s
Special Education,09X239,URBAN ASSEMBLY ACADEMY FOR HISTORY AN,16,s,s,16,s,s
Special Education,09X250,EXIMIUS COLLEGE PREPARATORY ACADEMY:,4,s,s,4,s,s
Special Education,09X252,MOTT HALL BRONX HIGH SCHOOL,8,s,s,8,s,s
Special Education,09X260,BRONX CENTER FOR SCIENCE AND MATHEMAT,1,s,s,1,s,s
Special Education,09X263,VALIDUS PREPARATORY ACADEMY: AN EXPED,11,s,s,11,s,s
Special Education,09X276,LEADERSHIP INSTITUTE,6,s,s,6,s,s
Special Education,09X297,MORRIS ACADEMY FOR COLLABORATIVE STUD,24,0,0%,24,0,0%
Special Education,09X329,DREAMYARD PREPARATORY SCHOOL,8,s,s,8,s,s
Special Education,09X403,BRONX INTERNATIONAL HIGH SCHOOL,10,s,s,10,s,s
Special Education,09X404,SCHOOL FOR EXCELLENCE,20,s,s,20,s,s
Special Education,09X412,BRONX HIGH SCHOOL OF BUSINESS,25,0,0%,25,0,0%
Special Education,09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,5,s,s,5,s,s
Special Education,09X414,JONATHAN LEVIN HIGH SCHOOL FOR MEDIA,24,0,0%,24,0,0%
Special Education,09X505,BRONX SCHOOL FOR LAW GOVERNMENT AND,17,s,s,17,s,s
Special Education,09X517,FREDERICK DOUGLASS ACADEMY III SECOND,15,s,s,15,s,s
Special Education,09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,26,1,3.8%,26,1,3.8%
Special Education,09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,9,s,s,9,s,s
Special Education,10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDD,7,s,s,7,s,s
Special Education,10X213,BRONX ENGINEERING AND TECHNOLOGY ACAD,10,s,s,10,s,s
Special Education,10X225,THEATRE ARTS PRODUCTION COMPANY SCHOO,9,s,s,9,s,s
Special Education,10X237,THE MARIE CURIE SCHOOL FOR MEDICINE,12,s,s,12,s,s
Special Education,10X243,WEST BRONX ACADEMY FOR THE FUTURE,15,s,s,15,s,s
Special Education,10X268,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,1,s,s,1,s,s
Special Education,10X284,BRONX SCHOOL OF LAW AND FINANCE,13,s,s,13,s,s
Special Education,10X319,PROVIDING URBAN LEARNERS SUCCESS IN E,10,s,s,10,s,s
Special Education,10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,1,s,s,1,s,s
Special Education,10X368,IN-TECH ACADEMY (M.S. / HIGH SCHOOL 3,14,s,s,14,s,s
Special Education,10X374,KNOWLEDGE AND POWER PREPARATORY ACADE,1,s,s,1,s,s
Special Education,10X397,ENGLISH LANGUAGE LEARNERS AND INTERNA,.,.,.,.,.,.
Special Education,10X433,HIGH SCHOOL FOR TEACHING AND THE PROF,18,s,s,18,s,s
Special Education,10X434,BELMONT PREPARATORY HIGH SCHOOL,16,s,s,16,s,s
Special Education,10X437,FORDHAM HIGH SCHOOL FOR THE ARTS,15,s,s,15,s,s
Special Education,10X438,FORDHAM LEADERSHIP ACADEMY FOR BUSINE,27,0,0%,27,0,0%
Special Education,10X439,BRONX HIGH SCHOOL FOR LAW AND COMMUNI,21,0,0%,21,0,0%
Special Education,10X440,DEWITT CLINTON HIGH SCHOOL,125,0,0%,125,0,0%
Special Education,10X442,CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC,5,s,s,5,s,s
Special Education,10X445,BRONX HIGH SCHOOL OF SCIENCE,4,s,s,4,s,s
Special Education,10X475,JOHN F. KENNEDY HIGH SCHOOL,85,1,1.2%,85,1,1.2%
Special Education,10X477,MARBLE HILL HIGH SCHOOL FOR INTERNATI,10,s,s,10,s,s
Special Education,10X546,BRONX THEATRE HIGH SCHOOL,17,s,s,17,s,s
Special Education,10X549,DISCOVERY HIGH SCHOOL,15,s,s,15,s,s
Special Education,10X660,GRACE DODGE CAREER AND TECHNICAL EDUC,74,0,0%,74,0,0%
Special Education,10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LE,2,s,s,2,s,s
Special Education,11X249,BRONX HEALTH SCIENCES HIGH SCHOOL,1,s,s,1,s,s
Special Education,11X253,BRONX HIGH SCHOOL FOR WRITING AND COM,17,s,s,17,s,s
Special Education,11X265,BRONX LAB SCHOOL,12,s,s,12,s,s
Special Education,11X270,ACADEMY FOR SCHOLARSHIP AND ENTRENEURSHIP,4,s,s,4,s,s
Special Education,11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLO,13,s,s,13,s,s
Special Education,11X288,COLLEGIATE INSTITUTE FOR MATH AND SCI,18,s,s,18,s,s
Special Education,11X290,BRONX ACADEMY OF HEALTH CAREERS,19,s,s,19,s,s
Special Education,11X299,ASTOR COLLEGIATE ACADEMY,25,0,0%,25,0,0%
Special Education,11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,78,0,0%,78,0,0%
Special Education,11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,26,2,7.7%,26,2,7.7%
Special Education,11X425,EVANDER CHILDS HIGH SCHOOL,.,.,.,.,.,.
Special Education,11X455,HARRY S TRUMAN HIGH SCHOOL,120,0,0%,120,0,0%
Special Education,11X513,NEW WORLD HIGH SCHOOL,.,.,.,.,.,.
Special Education,11X514,THE BRONXWOOD PREPARATORY ACADEMY,13,s,s,13,s,s
Special Education,11X541,GLOBAL ENTERPRISE HIGH SCHOOL,20,s,s,20,s,s
Special Education,11X542,PELHAM PREPARATORY ACADEMY,8,s,s,8,s,s
Special Education,11X544,HIGH SCHOOL FOR CONTEMPORARY ARTS,23,1,4.3%,23,1,4.3%
Special Education,11X545,BRONX AEROSPACE HIGH SCHOOL,16,s,s,16,s,s
Special Education,12X248,METROPOLITAN HIGH SCHOOL  THE,20,s,s,20,s,s
Special Education,12X251,EXPLORATIONS ACADEMY,6,s,s,6,s,s
Special Education,12X262,PERFORMANCE CONSERVATORY HIGH SCHOOL,21,0,0%,21,0,0%
Special Education,12X267,BRONX LATIN,.,.,.,.,.,.
Special Education,12X271,EAST BRONX ACADEMY FOR THE FUTURE,21,0,0%,21,0,0%
Special Education,12X278,PEACE AND DIVERSITY ACADEMY,15,s,s,15,s,s
Special Education,12X480,BRONX REGIONAL HIGH SCHOOL,14,s,s,14,s,s
Special Education,12X550,HIGH SCHOOL OF WORLD CULTURES,.,.,.,.,.,.
Special Education,12X680,BRONX COALITION COMMUNITY HIGH SCHOOL,21,0,0%,21,0,0%
Special Education,12X690,MONROE ACADEMY FOR BUSINESS/LAW,24,0,0%,24,0,0%
Special Education,12X692,MONROE ACADEMY FOR VISUAL ARTS & DESI,26,0,0%,26,0,0%
Special Education,13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOO,5,s,s,5,s,s
Special Education,13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC A,8,s,s,8,s,s
Special Education,13K412,BROOKLYN COMMUNITY HIGH SCHOOL OF COM,16,s,s,16,s,s
Special Education,13K419,SCIENCE SKILLS CENTER HIGH SCHOOL FOR,30,0,0%,30,0,0%
Special Education,13K430,BROOKLYN TECHNICAL HIGH SCHOOL,9,s,s,9,s,s
Special Education,13K483,THE URBAN ASSEMBLY SCHOOL FOR LAW AND,14,s,s,14,s,s
Special Education,13K499,ACORN COMMUNITY HIGH SCHOOL,28,0,0%,28,0,0%
Special Education,13K509,FREEDOM ACADEMY HIGH SCHOOL,13,s,s,13,s,s
Special Education,13K553,BROOKLYN ACADEMY HIGH SCHOOL,5,s,s,5,s,s
Special Education,13K575,BEDFORD STUYVESANT PREPARATORY HIGH S,1,s,s,1,s,s
Special Education,13K595,BEDFORD ACADEMY HIGH SCHOOL,5,s,s,5,s,s
Special Education,13K605,GEORGE WESTINGHOUSE CAREER AND TECHNI,45,0,0%,45,0,0%
Special Education,13K616,BROOKLYN HIGH SCHOOL FOR LEADERSHIP A,7,s,s,7,s,s
Special Education,13K670,BENJAMIN BANNEKER ACADEMY,17,s,s,17,s,s
Special Education,14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,21,0,0%,21,0,0%
Special Education,14K322,FOUNDATIONS ACADEMY,9,s,s,9,s,s
Special Education,14K404,ACADEMY FOR YOUNG WRITERS,6,s,s,6,s,s
Special Education,14K449,BROOKLYN LATIN SCHOOL  THE,.,.,.,.,.,.
Special Education,14K454,GREEN SCHOOL: AN ACADEMY FOR ENVIRONM,8,s,s,8,s,s
Special Education,14K474,PROGRESS HIGH SCHOOL FOR PROFESSIONAL,18,s,s,18,s,s
Special Education,14K477,SCHOOL FOR LEGAL STUDIES,15,s,s,15,s,s
Special Education,14K478,THE HIGH SCHOOL FOR ENTERPRISE  BUSIN,23,0,0%,23,0,0%
Special Education,14K488,BROOKLYN PREPARATORY HIGH SCHOOL,15,s,s,15,s,s
Special Education,14K558,WILLIAMSBURG HIGH SCHOOL FOR ARCHITEC,12,s,s,12,s,s
Special Education,14K561,WILLIAMSBURG PREPARATORY SCHOOL,18,s,s,18,s,s
Special Education,14K586,LYONS COMMUNITY SCHOOL,.,.,.,.,.,.
Special Education,14K610,AUTOMOTIVE HIGH SCHOOL,51,0,0%,51,0,0%
Special Education,15K027,AGNES Y. HUMPHREY SCHOOL FOR LEADERSH,1,s,s,1,s,s
Special Education,15K462,SECONDARY SCHOOL FOR LAW,10,s,s,10,s,s
Special Education,15K463,SECONDARY SCHOOL FOR JOURNALISM,11,s,s,11,s,s
Special Education,15K464,PARK SLOPE COLLEGIATE,13,s,s,13,s,s
Special Education,15K497,SCHOOL FOR INTERNATIONAL STUDIES,8,s,s,8,s,s
Special Education,15K498,ACORN HS FOR SOCIAL JUSTICE,18,s,s,18,s,s
Special Education,15K519,COBBLE HILL SCHOOL OF AMERICAN STUDIE,27,0,0%,27,0,0%
Special Education,15K520,PACIFIC HIGH SCHOOL,11,s,s,11,s,s
Special Education,15K529,WEST BROOKLYN COMMUNITY HIGH SCHOOL,10,s,s,10,s,s
Special Education,15K530,METROPOLITAN CORPORATE ACADEMY HIGH S,13,s,s,13,s,s
Special Education,15K656,BROOKLYN HIGH SCHOOL OF THE ARTS,8,s,s,8,s,s
Special Education,15K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,3,s,s,3,s,s
Special Education,16K393,FREDERICK DOUGLASS ACADEMY IV SECONDA,10,s,s,10,s,s
Special Education,16K455,BOYS AND GIRLS HIGH SCHOOL,108,0,0%,108,0,0%
Special Education,17K382,ACADEMY FOR COLLEGE PREPARATION AND C,5,s,s,5,s,s
Special Education,17K408,ACADEMY OF  HOSPITALITY AND TOURISM,4,s,s,4,s,s
Special Education,17K489,W.E.B. DUBOIS ACADEMIC HIGH SCHOOL,7,s,s,7,s,s
Special Education,17K524,INTERNATIONAL HIGH SCHOOL AT PROSPECT,4,s,s,4,s,s
Special Education,17K528,THE HIGH SCHOOL FOR GLOBAL CITIZENSHI,9,s,s,9,s,s
Special Education,17K531,SCHOOL FOR HUMAN RIGHTS  THE,12,s,s,12,s,s
Special Education,17K533,SCHOOL FOR DEMOCRACY AND  LEADERSHIP,17,s,s,17,s,s
Special Education,17K537,HIGH SCHOOL FOR YOUTH AND COMMUNITY D,8,s,s,8,s,s
Special Education,17K539,HIGH SCHOOL FOR SERVICE & LEARNING AT,16,s,s,16,s,s
Special Education,17K543,SCIENCE  TECHNOLOGY AND RESEARCH EARL,.,.,.,.,.,.
Special Education,17K544,INTERNATIONAL ARTS BUSINESS SCHOOL,17,s,s,17,s,s
Special Education,17K546,HIGH SCHOOL FOR PUBLIC SERVICE: HEROE,8,s,s,8,s,s
Special Education,17K547,BROOKLYN ACADEMY OF SCIENCE AND THE,11,s,s,11,s,s
Special Education,17K548,BROOKLYN SCHOOL FOR MUSIC & THEATRE,13,s,s,13,s,s
Special Education,17K568,BROWNSVILLE ACADEMY HIGH SCHOOL,2,s,s,2,s,s
Special Education,17K590,MEDGAR EVERS COLLEGE PREPARATORY SCHO,1,s,s,1,s,s
Special Education,17K600,CLARA BARTON HIGH SCHOOL,51,0,0%,51,0,0%
Special Education,17K625,PAUL ROBESON HIGH SCHOOL,50,0,0%,50,0,0%
Special Education,18K415,SAMUEL J. TILDEN HIGH SCHOOL,34,0,0%,34,0,0%
Special Education,18K500,CANARSIE HIGH SCHOOL,81,0,0%,81,0,0%
Special Education,18K515,SOUTH SHORE HIGH SCHOOL,28,0,0%,28,0,0%
Special Education,18K563,IT TAKES A VILLAGE ACADEMY,1,s,s,1,s,s
Special Education,18K566,BROOKLYN GENERATION SCHOOL,2,s,s,2,s,s
Special Education,18K567,BROOKLYN THEATRE ARTS HIGH SCHOOL,.,.,.,.,.,.
Special Education,18K569,KURT HAHN EXPEDITIONARY LEARNING SCHO,2,s,s,2,s,s
Special Education,18K576,VICTORY COLLEGIATE HIGH SCHOOL,1,s,s,1,s,s
Special Education,18K578,BROOKLYN BRIDGE ACADEMY,10,s,s,10,s,s
Special Education,18K589,ARTS & MEDIA PREPARATORY ACADEMY,.,.,.,.,.,.
Special Education,18K629,CULTURAL ACADEMY FOR THE ARTS AND SCI,1,s,s,1,s,s
Special Education,18K635,OLYMPUS ACADEMY,12,s,s,12,s,s
Special Education,18K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,10,s,s,10,s,s
Special Education,19K409,EAST NEW YORK FAMILY ACADEMY,13,s,s,13,s,s
Special Education,19K420,FRANKLIN K. LANE HIGH SCHOOL,67,0,0%,67,0,0%
Special Education,19K435,THOMAS JEFFERSON HIGH SCHOOL,1,s,s,1,s,s
Special Education,19K502,FDNY HIGH SCHOOL FOR FIRE AND LIFE SA,15,s,s,15,s,s
Special Education,19K504,HIGH SCHOOL FOR CIVIL RIGHTS,15,s,s,15,s,s
Special Education,19K507,PERFORMING ARTS AND TECHNOLOGY HIGH S,18,s,s,18,s,s
Special Education,19K510,WORLD ACADEMY FOR TOTAL COMMUNITY HEA,28,0,0%,28,2,7.1%
Special Education,19K583,MULTICULTURAL HIGH SCHOOL,.,.,.,.,.,.
Special Education,19K615,TRANSIT TECH CAREER AND TECHNICAL EDU,41,0,0%,41,0,0%
Special Education,19K618,ACADEMY OF INNOVATIVE TECHNOLOGY,.,.,.,.,.,.
Special Education,19K639,BROOKLYN LAB SCHOOL,.,.,.,.,.,.
Special Education,19K659,CYPRESS HILLS COLLEGIATE PREPARATORY,7,s,s,7,s,s
Special Education,19K660,W. H. MAXWELL CAREER AND TECHNICAL ED,46,0,0%,46,0,0%
Special Education,20K445,NEW UTRECHT HIGH SCHOOL,77,1,1.3%,77,1,1.3%
Special Education,20K485,HIGH SCHOOL OF  TELECOMMUNICATION ART,55,2,3.6%,55,2,3.6%
Special Education,20K490,FORT HAMILTON HIGH SCHOOL,79,5,6.3%,79,5,6.3%
Special Education,20K505,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,106,4,3.8%,106,4,3.8%
Special Education,21K337,INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,2,s,s,2,s,s
Special Education,21K344,RACHEL CARSON HIGH SCHOOL FOR COASTAL,9,s,s,9,s,s
Special Education,21K348,HIGH SCHOOL OF SPORTS MANAGEMENT,7,s,s,7,s,s
Special Education,21K400,LAFAYETTE HIGH SCHOOL,8,s,s,8,s,s
Special Education,21K410,ABRAHAM LINCOLN HIGH SCHOOL,73,0,0%,73,0,0%
Special Education,21K525,EDWARD R. MURROW HIGH SCHOOL,111,5,4.5%,111,5,4.5%
Special Education,21K540,JOHN DEWEY HIGH SCHOOL,67,0,0%,67,0,0%
Special Education,21K559,LIFE ACADEMY HIGH SCHOOL FOR FILM AND,.,.,.,.,.,.
Special Education,21K572,EXPEDITIONARY LEARNING SCHOOL FOR COM,1,s,s,1,s,s
Special Education,21K620,WILLIAM E. GRADY CAREER AND TECHNICAL,62,0,0%,62,0,0%
Special Education,21K690,BROOKLYN STUDIO SECONDARY SCHOOL,34,1,2.9%,34,1,2.9%
Special Education,21K728,LIBERATION DIPLOMA PLUS,5,s,s,5,s,s
Special Education,22K405,MIDWOOD HIGH SCHOOL,28,3,10.7%,28,3,10.7%
Special Education,22K425,JAMES MADISON HIGH SCHOOL,96,10,10.4%,96,12,12.5%
Special Education,22K495,SHEEPSHEAD BAY HIGH SCHOOL,77,0,0%,77,0,0%
Special Education,22K535,LEON M. GOLDSTEIN HIGH SCHOOL FOR THE,11,s,s,11,s,s
Special Education,22K555,BROOKLYN COLLEGE ACADEMY,.,.,.,.,.,.
Special Education,23K493,BROOKLYN COLLEGIATE: A COLLEGE BOARD,13,s,s,13,s,s
Special Education,23K514,FREDERICK DOUGLASS ACADEMY VII HIGH S,13,s,s,13,s,s
Special Education,23K643,BROOKLYN DEMOCRACY ACADEMY,8,s,s,8,s,s
Special Education,23K645,EBC/ENY HIGH SCHOOL FOR PUBLIC SAFETY,19,s,s,19,s,s
Special Education,23K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,8,s,s,8,s,s
Special Education,23K647,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,12,s,s,12,s,s
Special Education,23K697,TEACHERS PREPARATORY HIGH SCHOOL,23,2,8.699999999999999%,23,2,8.699999999999999%
Special Education,24Q264,ACADEMY OF FINANCE AND  ENTERPRISE,8,s,s,8,s,s
Special Education,24Q267,HIGH SCHOOL OF APPLIED COMMUNICATION,12,s,s,12,s,s
Special Education,24Q296,PAN AMERICAN INTERNATIONAL HIGH SCHOO,.,.,.,.,.,.
Special Education,24Q299,BARD HIGH SCHOOL EARLY COLLEGE II,.,.,.,.,.,.
Special Education,24Q455,NEWTOWN HIGH SCHOOL,66,0,0%,66,0,0%
Special Education,24Q485,GROVER CLEVELAND HIGH SCHOOL,65,0,0%,65,0,0%
Special Education,24Q550,HIGH SCHOOL FOR ARTS AND BUSINESS,22,0,0%,22,0,0%
Special Education,24Q560,ROBERT F. WAGNER  JR. SECONDARY SCHOO,21,0,0%,21,0,0%
Special Education,24Q600,QUEENS VOCATIONAL AND TECHNICAL HIGH,41,0,0%,41,0,0%
Special Education,24Q610,AVIATION CAREER & TECHNICAL EDUCATION,23,0,0%,23,0,0%
Special Education,24Q744,VOYAGES PREPARATORY,2,s,s,2,s,s
Special Education,25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL,.,.,.,.,.,.
Special Education,25Q281,EAST-WEST SCHOOL OF INTERNATIONAL STU,3,s,s,3,s,s
Special Education,25Q285,WORLD JOURNALISM PREPARATORY: A COLLE,9,s,s,9,s,s
Special Education,25Q425,JOHN BOWNE HIGH SCHOOL,83,0,0%,83,0,0%
Special Education,25Q460,FLUSHING HIGH SCHOOL,76,0,0%,76,0,0%
Special Education,25Q525,TOWNSEND HARRIS HIGH SCHOOL,1,s,s,1,s,s
Special Education,25Q540,QUEENS ACADEMY HIGH SCHOOL,11,s,s,11,s,s
Special Education,25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHO,29,1,3.4%,29,1,3.4%
Special Education,25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL,5,s,s,5,s,s
Special Education,26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,60,6,10%,60,7,11.7%
Special Education,26Q430,FRANCIS LEWIS HIGH SCHOOL,96,0,0%,96,1,1%
Special Education,26Q435,MARTIN VAN BUREN HIGH SCHOOL,77,0,0%,77,0,0%
Special Education,26Q495,BAYSIDE HIGH SCHOOL,68,5,7.4%,68,5,7.4%
Special Education,26Q566,QUEENS HIGH SCHOOL OF TEACHING  LIBER,28,1,3.6%,28,1,3.6%
Special Education,27Q260,FREDERICK DOUGLASS ACADEMY VI HIGH SC,10,s,s,10,s,s
Special Education,27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH,5,s,s,5,s,s
Special Education,27Q302,QUEENS HIGH SCHOOL FOR INFORMATION  R,.,.,.,.,.,.
Special Education,27Q400,AUGUST MARTIN HIGH SCHOOL,39,0,0%,39,0,0%
Special Education,27Q410,BEACH CHANNEL HIGH SCHOOL,69,0,0%,69,0,0%
Special Education,27Q465,FAR ROCKAWAY HIGH SCHOOL,30,0,0%,30,0,0%
Special Education,27Q475,RICHMOND HILL HIGH SCHOOL,94,0,0%,94,0,0%
Special Education,27Q480,JOHN ADAMS HIGH SCHOOL,98,1,1%,98,1,1%
Special Education,27Q650,HIGH SCHOOL FOR CONSTRUCTION TRADES,12,s,s,12,s,s
Special Education,28Q440,FOREST HILLS HIGH SCHOOL,70,5,7.1%,70,5,7.1%
Special Education,28Q470,JAMAICA HIGH SCHOOL,41,0,0%,41,0,0%
Special Education,28Q505,HILLCREST HIGH SCHOOL,80,0,0%,80,0,0%
Special Education,28Q620,THOMAS A. EDISON CAREER AND TECHNICAL,55,3,5.5%,55,3,5.5%
Special Education,28Q680,QUEENS GATEWAY TO HEALTH SCIENCES SEC,.,.,.,.,.,.
Special Education,28Q687,QUEENS HIGH SCHOOL FOR THE SCIENCES A,.,.,.,.,.,.
Special Education,28Q690,HIGH SCHOOL FOR LAW ENFORCEMENT AND P,15,s,s,15,s,s
Special Education,29Q248,QUEENS PREPARATORY ACADEMY,9,s,s,9,s,s
Special Education,29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL:,4,s,s,4,s,s
Special Education,29Q265,EXCELSIOR PREPARATORY HIGH SCHOOL,15,s,s,15,s,s
Special Education,29Q272,GEORGE WASHINGTON CARVER HIGH SCHOOL,12,s,s,12,s,s
Special Education,29Q283,PREPARATORY ACADEMY FOR WRITERS: A CO,3,s,s,3,s,s
Special Education,29Q492,MATHEMATICS  SCIENCE RESEARCH AND TEC,6,s,s,6,s,s
Special Education,29Q494,LAW  GOVERNMENT AND COMMUNITY SERVICE,16,s,s,16,s,s
Special Education,29Q496,BUSINESS  COMPUTER APPLICATIONS & ENT,26,0,0%,26,0,0%
Special Education,29Q498,HUMANITIES & ARTS MAGNET HIGH SCHOOL,9,s,s,9,s,s
Special Education,30Q445,WILLIAM CULLEN BRYANT HIGH SCHOOL,81,2,2.5%,81,2,2.5%
Special Education,30Q450,LONG ISLAND CITY HIGH SCHOOL,94,1,1.1%,94,1,1.1%
Special Education,30Q501,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,8,s,s,8,s,s
Special Education,30Q502,INFORMATION TECHNOLOGY HIGH SCHOOL,44,0,0%,44,0,0%
Special Education,30Q555,NEWCOMERS HIGH SCHOOL,.,.,.,.,.,.
Special Education,30Q575,ACADEMY OF AMERICAN STUDIES,17,s,s,17,s,s
Special Education,30Q580,BACCALAUREATE SCHOOL FOR GLOBAL EDUCA,.,.,.,.,.,.
Special Education,31R047,CSI HIGH SCHOOL FOR INTERNATIONAL STU,10,s,s,10,s,s
Special Education,31R080,THE MICHAEL J. PETRIDES SCHOOL,16,s,s,16,s,s
Special Education,31R440,NEW DORP HIGH SCHOOL,77,2,2.6%,77,2,2.6%
Special Education,31R445,PORT RICHMOND HIGH SCHOOL,95,3,3.2%,95,3,3.2%
Special Education,31R450,CURTIS HIGH SCHOOL,95,2,2.1%,95,2,2.1%
Special Education,31R455,TOTTENVILLE HIGH SCHOOL,136,6,4.4%,136,6,4.4%
Special Education,31R460,SUSAN E. WAGNER HIGH SCHOOL,146,6,4.1%,146,6,4.1%
Special Education,31R470,CONCORD HIGH SCHOOL,4,s,s,4,s,s
Special Education,31R600,RALPH R. MCKEE CAREER AND TECHNICAL E,43,0,0%,43,0,0%
Special Education,31R605,STATEN ISLAND TECHNICAL HIGH SCHOOL,2,s,s,2,s,s
Special Education,32K403,ACADEMY FOR ENVIRONMENTAL LEADERSHIP,7,s,s,7,s,s
Special Education,32K545,EBC HIGH SCHOOL FOR PUBLIC SERVICEBU,21,0,0%,21,0,0%
Special Education,32K549,BUSHWICK SCHOOL FOR SOCIAL JUSTICE,18,s,s,18,s,s
Special Education,32K552,ACADEMY OF URBAN PLANNING,20,s,s,20,s,s
Special Education,32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,2,s,s,2,s,s
Special Education,32K556,BUSHWICK LEADERS HIGH SCHOOL FOR ACAD,19,s,s,19,s,s
Special Education,32K564,BUSHWICK COMMUNITY HIGH SCHOOL,17,s,s,17,s,s
General Education,01M292,HENRY STREET SCHOOL FOR INTERNATIONAL,60,7,11.7%,60,7,11.7%
General Education,01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,99,16,16.2%,99,16,16.2%
