OrganizationName,Brooklyn,Bronx,Manhattan,Queens,Staten Island,Fax,Phone,URL,noURL,Description,outsideLoc,outsideLocDesc,Aging,Anti-Discrimination & Human Rights,Arts & Culture,Business,Child Care & Parent Information,Community Service & Volunteerism,Counseling & Support Groups,Disabilities,Domestic Violence,Education,Employment & Job Training,Health,Homelessness,Housing,Immigration,Legal Services,"Lesbian, Gay, Bisexual, and/or Transgender",Personal Finance & Financial Education,Professional Association,Veterans & Military Families,Victim Services,Women's Groups,Youth Services,Faith-based organization,Foundation,Is registered with the Attorney General's office,New York City Agency,None of the above,Nonprofit,Comments,Other government organization,Published,Location 1,Location 2
"Yeled V'Yalda Early Childhood Center, Inc.",Y,N,N,N,N,,7186863700,,,,,,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
YMCA of Greater New York,Y,Y,Y,Y,Y,,2126309729,,N,,N,,Y,N,Y,N,N,Y,N,N,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
"Young Athletes, Inc.",N,N,Y,N,N,,2125910636,,N,"YAI provides after-school programs that promote health and physical fitness, academic growth, self-discipline, and leadership skills. The organization was founded in 1997 by two professional basketball players, LaMarre Dyson and Steve Burtt, along with Rod Strickland, a coach who had inspired them to succeed. YAI started out by creating venues for amateur sports competitions, and then expanded. Today, sports are a draw for the program, but participants are also tutored and mentored. They explore career options and must maintain good academic standing.",N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
"Young Dancers In Repertory, Inc.",Y,N,N,N,N,,3477027155,,,,,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
Young Men & Young Women's Hebrew Association of the Bronx,N,Y,N,N,N,,7185488200,,N,,N,,Y,N,Y,N,N,Y,N,N,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
Children for Children,N,N,Y,N,N,2128504180,2128504170,http://www.childrenforchildren.org,N,"Children for Children mobilizes the energy, ingenuity and compassion of young people, beginning at an early age, to discover their power and potential to solve real world problems through volunteer opportunities and service learning programs that instill a lifelong commitment to service.",N,,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
Catholic War Veterans - Department of New York,N,N,Y,N,N,2128940517,2129620988,http://www.nycatholicwarvets.org,N,"The primary objective of the Catholic War Veterans (CWV) is to make the entire nation acutely aware of the struggle and needs of many veterans, their widows and children",N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,,N,N,N,N,N,N,Y,,N,Published,,
Jewish War Veterans-Department of New York,N,N,Y,N,N,,2123496640,http://www.jwv.org,N,"Mission to encourage the doctrine of universal liberty, equal rights, and full justice to all men and women; to preserve the spirit of comradeship by mutual helpfulness to comrades and their families; to cooperate with and support existing educational institutions and establish educational institutions, and to foster the education of ex-servicemen and ex-servicewomen, and our members in the ideals and principles of Americanism.",N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,,N,N,N,N,N,N,Y,,N,Published,,
"Marine Corps League, Greater New York Detachment",Y,Y,Y,Y,Y,,3157966380,http://www.mclnewyork.org,N,"Members of the Marine Corps League join together in camaraderie and fellowship for the purpose of preserving the traditions and promoting the interests of the United States Marine Corps, banding together those who are now serving in the United States Marine Corps and those who have been honorably discharged from that service that may effectively promote the ideals of American freedom and deomcracy, voluntarily aiding and rendering assistance to all Marines and former Marines and to their widows and orphans; and to perpetuate the history of the United States Marine Corps and by fitting acts to observe the anniversaires of historical occasions of particular interest to Marines.",N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,,N,N,N,N,N,N,Y,,N,Published,"1 White Lake
12787
(41.803259577667404, -74.84546502698936)",
Montford Point Marine Association - NY Metro Chapter,N,N,Y,N,N,2124424170,2122673318,http://www.mpmanyc.com,N,"The goal of the MPMA-NY Chapter is to preserve the memories, values and foundations of those who have past before us. In doing so we have hosted programs, provided education, sponsored youth programs such as the Harlem Youth Marines, and many other community based programs. The chapter has a long-standing commitment, of reaching out toward interacting and educating all that are interested in the continuing legacy of Marine Corps traditions past and present.",N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,,N,N,N,N,N,N,Y,,N,Published,,
USO of Metropolitan New York,N,N,Y,N,N,,2126955590,http://www.usonyc.org,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,,N,N,N,N,N,N,Y,,N,Published,,
Friends of Israel Disabled War Veterans - Beit Halochem,Y,Y,Y,Y,Y,2122534143,2126893220,http://www.zdvo.org/usfl/index1.asp?view_date=&cat=54,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,,N,N,N,N,N,N,Y,,N,Published,,
The United War Veterans Council of New York County,N,N,Y,N,N,2126931475,2126931476,http://www.unitedwarveterans.org,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,,N,N,N,N,N,N,Y,,N,Published,,
United Spinal Association - Vets First,N,N,N,Y,N,7188030414,7188033782,http://www.vetsfirst.org,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,,N,N,N,N,N,N,Y,,N,Published,,
Paralyzed Veterans of America,Y,Y,Y,Y,Y,,8005559140,http://www.pva.org,N,,Y,Main Location is Washington DC,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,,N,N,N,N,N,N,Y,,N,Published,,
Veterans of Foreign Wars,Y,Y,Y,Y,Y,8169681149,8167563390,http://www.vfw.org,N,,Y,"Main Location: Kansas City, Missouri ",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,,N,N,N,N,N,N,Y,,N,Published,,
Iraq and Afghanistan Veterans of America,N,N,Y,N,N,2129828645,2129829699,http://www.iava.org,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,,N,N,N,N,N,N,Y,,N,Published,,
Homeless American Veterans Self-Help Initiative,N,N,Y,N,N,,2122522900,http://www.helpusvets.org,N,,N,,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,,N,N,N,N,N,N,Y,,N,Published,,
New Era Veterans,N,Y,N,N,N,7189047001,7189047036,http://www.neweraveterans.com/,N,"To promote increased knowledge of available services for veterans and their families and to provide safe, affordable housing and services for veterans throughout the 5 boroughs.",N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,,N,N,N,N,N,N,Y,,N,Published,,
Adult Education,Y,Y,Y,Y,Y,,2126399675,http://www.nyc.gov/html/adulted/html/home/home.shtml,N,The Mayor's Office of Adult Education seeks to improve the quality of life of New Yorkers by promoting a state-of-the-art adult education system.,N,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,Y,N,N,,N,Published,,
Business Link,Y,Y,Y,Y,Y,,2126399675,http://www.nyc.gov/html/hra/html/directory/business_link.shtml,N,"Business Link is a fast, free and easy way for employers to reach job seekers. Operated by New York Cityâ€™s Human Resources Administration/Department of Social Services, Business Link is at the core of the Cityâ€™s efforts to move cash assistance recipients into jobs. Plus, there are financial benefits available to companies that hire employees through Business Link.",N,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,Y,N,N,,N,Published,,
American Ex-Prisoners of War,Y,N,N,N,N,,7186427647,http://www.axpow.org/,N,"Our purpose is our slogan: ""We exist to help those who cannot help themselves."" Our organization of former POW's (military and civilian) and their families has helped many victims deal with the enduring trauma of their capture through friendships with those who shared a common experience. These friendships have become lasting, life-long relationships.",N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,,N,N,N,N,N,N,Y,,N,Published,"10H Brooklyn
11239
(40.64949607998017, -73.8655249998788)",
Equal Employment Practices Commission,Y,Y,Y,Y,Y,,2126399675,http://www.nyc.gov/html/eepc/html/home/home.shtml,N,"The Equal Employment Practices Commission was created by the New York City Charter as an independent agency responsible for monitoring the equal employment practices, programs, policies, and procedures of all City agencies that are funded in whole or in part by the City. Its duties include the following: to review the standards, procedures, and programs of the Department of Personnel and every City agency's affirmative employment plan; to provide equal employment opportunity for minority group members and women employed by, or seeking employment with, City agencies; to recommend to City agencies procedures, standards, and programs to be utilized to ensure fair and effective employment; to audit and evaluate the employment practices and procedures of each City agency at least once every four years and whenever requested by the Civil Service Commission or the Human Rights Commission; to Establish a compliance procedure - not to exceed six months - to monitor the implementation of all audit recommendations; to hold public and private hearings, compel the attendance of witnesses, and administer oaths; to establish appropriate advisory committees; to publish a report to the mayor - where appropriate - and recommend the corrective action an agency should take in order to comply with Equal Employment Opportunity requirements. The Equal Employment Practices Commission is not authorized to investigate individual complaints of employment discrimination.",N,,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,Y,N,N,,N,Published,,
Landmarks Preservation Commission,Y,Y,Y,Y,Y,,2126399675,,N,The Landmarks Preservation Commission is the New York City agency that is responsible for identifying and designating the City's landmarks and the buildings in the City's historic districts. The Commission also regulates changes to designated buildings. The agency consists of eleven Commissioners and a full-time staff.,N,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,Y,N,N,,N,Published,,
Latin Media and Entertainment Commission,Y,Y,Y,Y,Y,,2126399675,http://www.nyc.gov/html/lmec/html/home/home.shtml,N,The Commission advises the Mayor on business development and retention strategies for the Latin media and entertainment industry.,N,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,Y,N,N,,N,Published,,
Mayor's Office fo Veterans' Affairs,Y,Y,Y,Y,Y,,2126399675,http://www.nyc.gov/html/vets/html/home/home.shtml,N,"The Mayor's Office of Veterans' Affairs (MOVA) was established by local law 53 in 1987. MOVA advises the Mayor on issues and initiatives impacting the veteran and military community. MOVA works with the U.S. Department of Veterans Affairs (VA), the New York State Division of Veterans Affairs (NYSDVA), City Agencies, veteran's organizations and other stakeholders to offer services to veterans, their dependents and survivors; while encouraging innovative partnerships to ensure creative problem solving.",N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,,N,N,N,N,Y,N,N,,N,Published,,
Mayor's Office for People with Disabilities,Y,Y,Y,Y,Y,,2126399675,http://www.nyc.gov/html/mopd/html/home/home.shtml,N,"The Mayor's Office for People with Disabilities works hand-in-hand with other City agencies to assure that the voice of the disabled community is represented and that City programs and policies address the needs of people with disabilities. We have developed a number of informative brochures and directories that detail programs, services, activities, and other resources that are accessible to people with disabilities. In addition, we work with organizations on specific issues affecting people with disabilities, and arrange activities and events that aim to bring about dialog that leads to meaningful outcomes.",N,,Y,Y,Y,N,N,N,N,Y,N,N,Y,Y,N,N,N,Y,N,N,N,N,N,,N,N,N,N,Y,N,N,,N,Published,,
Mayor's Office of Immigrant Affairs,Y,Y,Y,Y,Y,,2126399675,http://www.nyc.gov/html/imm/html/home/home.shtml,N,"Building on its Charter mandate, the Mayor's Office of Immigrant Affairs promotes the well-being of immigrant communities by recommending policies and programs that facilitate successful integration of immigrant New Yorkers into the civic, economic, and cultural life of the City.",N,,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,,N,N,N,N,Y,N,N,,N,Published,,
Mayor's Office of Industrial and Manufacturing Business,Y,Y,Y,Y,Y,,,http://www.nyc.gov/html/imb/html/home/home.shtml,N,"Protecting and promoting our industrial sector is crucial to the city's overall economic development. In January 2005, Mayor Bloomberg created the Office of Industrial and Manufacturing Businesses to retain and grow the sector's job base, execute the goals of the industrial policy, and serve as a single point of coordination for the industrial and manufacturing sector. The sector provides close to 500,000 jobs in New York City, making up nearly 15% of the city's workforce, and contributed $1.7 billion in tax revenues in 2004. The manufacturing and industrial sector is not only a strong component of our economy but a reliable source of jobs for many of our fellow New Yorkers. More than half of the employees in the industrial sector have a high school diploma or less and nearly a fifth have limited English proficiency. New York City is a strategic location to operate an industrial business. The unparalleled concentration of residents, businesses, economic activity, and wealth creates a tremendous end market for the industrial sector. Every employer praises the New York City workforce for its unparalleled diversity, depth of talent, commitment, and proactive attitude. Despite these advantages, challenges remain for the sector. Space to expand or relocate is expensive and scarce, operating costs are high, and there is a perception that the overall business environment presents obstacles. Our Office has begun to address these issues. Our Office broadened the Commercial Expansion Program to create benefits especially for industrial and manufacturing businesses that rent their spaces. In early 2006 our Office created 16 Industrial Business Zones across the City where expanded business services are available for industrial and manufacturing businesses. A relocation tax credit of $1,000 per employee is offered for manufacturing and industrial businesses that choose to relocate within the Industrial Business Zones.ï¿½ Moreover, the zones represent areas where the Bloomberg Administration guarantees it will prohibit any new residential development. And State tax credits are also available to qualified businesses located in certain Industrial Business Zones as a result of the recent reconfiguration of the New York City's Empire Zones. Our Office intends to see these initiatives grow and better serve the cityï¿½s industrial and manufacturing businesses. We encourage you to explore this site to learn more. Please contact us to let us know how we can help you.",N,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,Y,N,N,,N,Published,,
Mayor's Volunteer Center,Y,Y,Y,Y,Y,,2126399675,http://www.nyc.gov/html/mvc/html/home/home.shtml,N,"The Mayor's Volunteer Center of New York City, a program of the Mayor's Community Affairs Unit, brings together individuals, corporations, government agencies and nonprofit organizations to connect people and facilitate meaningful volunteer opportunities that improve the quality of life in New York City. Its goal is to make every New Yorker a volunteer. Throughout the year, the Mayorï¿½s Volunteer Center promotes and organizes thousands of volunteer opportunities in partnership with community organizations and nonprofits in all five boroughs. Our mission is to provide the resources that enable every New Yorker to become a volunteer.",N,,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,Y,N,N,,N,Published,,
New York City Department of Parks & Recreation,Y,Y,Y,Y,Y,,2126399675,http://www.nycgovparks.org/,N,"Parks & Recreation is the steward of more than 29,000 acres of land 14 percent of New York City including more than 4,000 individual properties ranging from Yankee Stadium and Central Park to community gardens and Greenstreets. We operate more than 800 athletic fields and nearly 1,000 playgrounds; we manage five major stadia, 550 tennis courts, 54 public pools, 51 recreational facilities, 15 nature centers, 13 golf courses, and 14 miles of beaches; we care for 1,200 monuments and 22 historic house museums; we look after 600,000 street trees, and two million more in parks. We are New York City's principal provider of athletic facilities. We are home to free concerts, world-class sports events, and cultural festivals.",N,,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,Y,N,N,,N,Published,,
New York City Department of Small Business Services,Y,Y,Y,Y,Y,,2126399675,http://www.nyc.gov/html/sbs/html/home/home.shtml,N,"The Department of Small Business Services (SBS) makes it easier for businesses in New York City to form, do business, and grow by providing direct assistance to business owners, fostering neighborhood development in commercial districts, and linking employers to a skilled and qualified workforce.",N,,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,,N,N,N,N,Y,N,N,,N,Published,,
New York City Department of Youth and Community Development,Y,Y,Y,Y,Y,,2126399675,http://www.nyc.gov/html/dycd/html/home/home.shtml,N,"The Department of Youth and Community Development (DYCD) was created in 1996 to provide the City of New York with high-quality youth and family programming.ï¿½Our central task is administering available City, state, and federal funds to effective community-based organizations.ï¿½Selected organizations must be in touch with the needs of the people they serve, devoted to the highest principles of community service, and committed to sound fiscal management.",N,,N,N,Y,N,Y,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,Y,N,N,,N,Published,,
New York City Housing Authority,Y,Y,Y,Y,Y,,2126399675,http://www.nyc.gov/html/nycha/html/home/home.shtml,N,"The New York City Housing Authority (NYCHA) provides decent and affordable housing in a safe and secure living environment for low and moderate- income residents throughout the five boroughs. To fulfill this mission, NYCHA must preserve its aging housing stock through timely maintenance and modernization of its developments. NYCHA also administers a citywide Section 8 Leased Housing Program in rental apartments. Simultaneously, we work to enhance the quality of life at NYCHA by offering our residents opportunities to participate in a multitude of community, educational and recreational programs, as well as job readiness and training initiatives.",N,,N,N,Y,N,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,,N,N,N,N,Y,N,N,,N,Published,,
New York City Rent Guidelines Board,Y,Y,Y,Y,Y,,2126399675,http://www.nyc.gov/html/rgb/home.html,N,"The NYC Rent Guidelines Board (RGB) is mandated to establish rent adjustments for the approximately one million dwelling units subject to the Rent Stabilization Law in New York City. The Board holds an annual series of public meetings and hearings to consider research from staff, and testimony from owners, tenants, advocacy groups and industry experts. The RGB staff is responsible for providing administrative support to the Board and prepares research regarding the economic condition of the stabilized residential real estate industry including operating and maintenance costs, the cost of financing, housing supply and cost of living indices. The RGB staff engages in year-round research efforts, publishes its reports for use by the public, other governmental agencies and private organizations, and provides information to the public on housing questions.",N,,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,,N,N,N,N,Y,N,N,,N,Published,,
NYC Children's Services,Y,Y,Y,Y,Y,,2126399675,http://www.nyc.gov/html/acs/html/home/home.shtml,N,"The New York City Administration for Children's Services protects New York City's children from abuse and neglect. Along with our community partners, Children's Services provides neighborhood-based services to help ensure children grow up in safe, permanent homes with strong families.",N,,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,Y,N,N,,N,Published,,
NYC Business Integrity Commission,Y,Y,Y,Y,Y,,2126399675,http://www.nyc.gov/html/bic/html/home/home.shtml,N,"In November 2001, a charter revision measure created the Organized Crime Control Commission, which was later renamed the Business Integrity Commission (BIC), to consolidate under one agency the regulatory jurisdiction over the private carting industry, businesses operating in the City's public wholesale markets, and the shipboard gambling industry. Previously, the trade waste industry was regulated by the Trade Waste Commission; the Fulton Fish Market, other seafood distribution areas, and the public wholesale markets were under the purview of the Department of Small Business Services; and shipboard gambling was regulated by the Gambling Control Commission.",N,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,Y,N,N,,N,Published,,
NYC Business Solutions,Y,Y,Y,Y,Y,,2126399675,http://www.nyc.gov/html/sbs/nycbiz/html/home/home.shtml,N,"NYC Business Solutions is committed to helping businesses start, operate, and expand in New York City. Regardless of the size or stage of your business, we can help you access services that meet your needs as you continue to grow and expand.",N,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,Y,N,N,,N,Published,,
NYC Center for Economic Opportunity,Y,Y,Y,Y,Y,,2126399675,http://www.nyc.gov/html/ceo/html/home/home.shtml,N,"The Center for Economic Opportunity (CEO) was established by Mayor Bloomberg on December 18, 2006 to implement innovative ways to reduce poverty in New York City. .ï¿½ The CEO works with City agencies to design and implement evidence-based initiatives aimed at poverty reduction, and manages an Innovation Fund through which it provides City agencies annual funding to implement such initiatives. CEO oversees a rigorous evaluation of each program to determine which are successful in demonstrating results towards reducing poverty and increasing self-sufficiency among New Yorkers. The CEO is led by Executive Director Veronica White and reports directly to Deputy Mayor Linda Gibbs. Along with its partner agencies, the Center will continue to put into action the recommendations that have been made by the Commission for Economic Opportunity.",N,,N,N,N,Y,Y,N,N,Y,N,Y,Y,N,N,N,Y,N,N,Y,N,N,N,,Y,N,N,N,Y,N,N,,N,Published,,
