"Borough, Block and Lot #",Facility Address,Natural Gas Utility (Con Edison or National Grid,Building Manager,Owner,Owner Address,DEP Boiler Application #,Deadline for phasing out #6 oil (i.e. data of next DEP permit renewal after July 1 2012),Boiler Model,Number of identical boilers,Boiler capacity (Gross BTU),Boiler Installation Date,Estimated retirement date of boiler (assuming 35 year average useful life),Is boiler dual fuel capable?,Age range of boiler,Burner Model,Primary Fuel,Total Estimated Cosumption - High Estimate (Gallons) ,Total Estimated Cosumption - Low Estimate (Gallons) ,Total Estimated Cosumption - High Estimate (MMBTUs) ,Total Estimated Cosumption - Low Estimate  (MMBTUs) ,Needs to comply with Greener Greater Buildings Laws?,Deadline for complying with Audit and Retrocommissioning Law,Building Type,City Council District,Total area of buildings on lot,Number of buildings on property (tax lot),Number of floors,Number of residential units,Number of total units,Year constructed,Condominium housing?,Cooperative housing?
2032190228,"145 188 STREET
Bronx, NY 10468
(40.86184363580843, -73.89874517849266)",Con Edison,188 REALTY WEISS REALTY,188 REALTY ASSOCIATES,"198 BRONX
NY 10461
(40.846960590359004, -73.840632836736)",CA224372K,7/6/05,ROCKMILLS MP 90,1,3.2,1972,2010, ,36 - 40 year old,HEV-E-OIL AM6E,#6,34480,24136,5172,3620,,,Elevator Apartments,14,49248,1,6,49,49,1935, , 
2031730054,"2385 CRESTON AVENUE
Bronx, NY 10468
(40.85995947613718, -73.89966924025774)",Con Edison,2385 LLC,2385 LLC,"110519 BROOKLYN
NY 11211-0519
(40.711589765255496, -73.95817675075642)",CA114096X,7/6/05,FEDERAL FST-125,1,4.82,1996,2031,DUAL FUEL,11 to 15 years old,I.C. DEG-54 (P),#6,34400,24080,5160,3612,Yes,2013,Walk-Up Apartments,14,60636,1,6,73,73,1925, , 
2033190029,"1 198 STREET
Bronx, NY 10468
(40.87140203588607, -73.89299671251823)",Con Edison,BESIM RLTY,MYRVETE MULOSMANAJ,"2830 MORRIS AVENUE
BRONX, NY 10468
(40.87089636703738, -73.89366881699142)",CA557385P,7/5/05,FEDERAL FST -125,1,5.32,1985,2020, ,21 to 26 years old,ICI MMG 54P,#4,34000,23800,4930,3451,Yes,2019,Elevator Apartments,15,58962,1,6,71,74,1941, , 
2028090001,"1900 GRAND
Bronx, NY 10457
(40.84579837129786, -73.89832418681175)",Con Edison,LANGSAN PROPERTIES,1900 G.C. LLC,"1601 BRONXDALE AVENUE
BRONX, NY 10462
(40.84351657306597, -73.85691921749257)",CA071379Z,7/5/05,ROCKMILLS MP 80,1,3.43,1979,2014, ,31 to 35 years old,ICI MMG 34 S,#4,34000,23800,4930,3451,,,Walk-Up Apartments,14,41269,1,6,40,42,1925, , 
2038660001,"1589 172 STREET
Bronx, NY 10472
(40.831604320998004, -73.8765960055395)",Con Edison,NEXSTP REALTY CORP.,BXP 1 LLC,"15 39TH STREET
NEW YORK, NY 10018
(40.75214177012805, -73.98355158559207)",CA042495N,7/5/05,FEDERAL  FST-125,1,4.34,1995,2030,DUAL FUEL,11 to 15 years old,INDUSTRIAL COMB.  MMG-54 (P),#4,34000,23800,4930,3451,,,Elevator Apartments,18,37740,1,5,59,59,1927, , 
2032250052,"135 183 STREET
Bronx, NY 10453
(40.85775936334993, -73.90085517700491)",Con Edison,RALPH LANGSAM ASSOC INC.,135 REALTY ASSOCIATES,"1601 BRONXDALE AVENUE
BRONX, NY 10462
(40.84351657306597, -73.85691921749257)",CA136079L,7/6/05,ROCKMILLS MP90,1,3.4,1979,2014, ,31 to 35 years old,ICI MMG 42P,#4,34000,23800,4930,3451,,,Walk-Up Apartments,14,47054,1,6,52,52,1924, , 
2030710047,"2238 ADAMS PLACE
Bronx, NY 10457
(40.85230314562583, -73.88920543305566)",Con Edison,2238 ADAMS CORP.,2238 ADAMS CORP.,"186 CENTUCK STATION
YONKERS, NY 10710
(40.96800743479531, -73.84691481076987)",CB095206X,#N/A,ROCKMILLS-MP-125 (NEW),1,4.1,2006,2041,DUAL FUEL,Fewer than 5 years old,HEV-E-OIL-6-CM (EXSTG),#4,33945,23762,4922,3445,,,Elevator Apartments,15,45000,1,6,54,59,1926, , 
2033280108,"3555 BAINBRIDGE AVENUE
Bronx, NY 10467
(40.88220149253238, -73.87814692675988)",Con Edison,3555 BAINBRIDGE ASSOC.,3555 BAINBRIDGE LLC,"159 00 RIVERSIDE DRIVE
MANHATTAN, NY 10032
(40.83693034905639, -73.94917852197119)",CA134395Y,7/6/05,PACIFIC  52 L1,1,4.06,1995,2030,DUAL FUEL,11 to 15 years old,INDUSTRIAL  COMB. MMG-42 (P),#4,33872,23710,4911,3438,Yes,2018,Elevator Apartments,11,66300,1,7,60,62,1959, , 
2033420051,"315 206 STREET
Bronx, NY 10467
(40.87498206332891, -73.87887040168368)",Con Edison,206 REALTY MANAGEMENT CORP.,206 REALTY MTGE CORP,"2124 ELLIS AVENUE
BRONX, NY 10462
(40.832316049996166, -73.85346304900459)",CA212285Y,7/4/05,FEDERAL FST-70,1,3.2,1985,2020, ,21 to 26 years old,ICI MMG-30,#4,33796,23657,4900,3430,,,Educational Structures,11,41360,1,5,49,49,1922, , 
2026540001,"685 TINTON AVENUE
Bronx, NY 10455
(40.816294695248985, -73.90517882030393)",Con Edison,ST. ANSELMS SCHOOL,R C CH OF ST ANSELM,"685 TINTON AVENUE
BRONX, NY 10455
(40.816294695248985, -73.90517882030393)",CA187494Z,7/4/05,FEDERAL  FST-125,1,5.25,1994,2029, ,16 to 20 years old,INDUSTRIAL  COMB. MMG-54 (P),#4,33750,23625,4894,3426,,,Elevator Apartments,17,35000,2,4,0,1,1966, , 
2029900027,"1715 VYSE AVENUE
Bronx, NY 10460
(40.836032015421935, -73.88644640636566)",Con Edison,PRC MANAGEMENT ,MBD II ASSOCIATES,"955 163 STREET
BRONX, NY 10459
(40.82102127608155, -73.89565834555971)",CA061883Z,7/5/05,BURNHAM SPENCER 4F-450-50,1,3.72,1983,2018,DUAL FUEL,26 to 30 years old,INDUSTRIAL COMBUSTION MMG 42P,#4,33745,23622,4893,3425,,,Elevator Apartments,15,43250,1,5,44,44,1923, , 
2031580022,"2274 GRAND
Bronx, NY 10457
(40.84579837129786, -73.89832418681175)",Con Edison,FRIEDMAN MGMT CORP.,CONCOURSE ENTERPRS IN,"114 PENN PLAZA
MANHATTAN, NY 10122
(40.75122300024134, -73.9912030003182)",CA369286L,7/6/05,FEDERAL FST-70 SP,1,3.1,1986,2021, ,21 to 26 years old,IND. COMB. MMG-30,#4,33726,23608,4890,3423,,,Elevator Apartments,15,29817,1,6,40,44,1919, , 
2033080030,"225 202 STREET
Bronx, NY 10458
(40.87309470203721, -73.88591391915995)",Con Edison,"HARLINGTON  REALTY CO., LLC.",202 STREET LLC,"156A 83rd STREET
MANHATTAN, NY 10028
(40.776344978837756, -73.95296667956859)",CA528985X,7/5/05,FEDERAL FST-70,1,3.1,1985,2020, ,21 to 26 years old,INDUSTRIAL COMBUS MM-30,#4,33726,23608,4890,3423,,,Factory & Industrial Buildings,11,36200,1,5,43,43,1927, , 
2028020017,"226 MOUNT HOPE PLACE
Bronx, NY 10457
(40.84823647820358, -73.9053713416301)",Con Edison,2062 HOLDING CORP.,2062 HOLDING CORP,"2562 BRIGGS AVENUE
BRONX, NY 10458
(40.863915448232135, -73.89343797788628)",CB150608H,7/7/05,BEST 4B - 110 (NEW),1,3.6,2008,2043,DUAL FUEL,Fewer than 5 years old,ICI  MEG - 42P  (NEW),#6,33617,23532,5043,3530,,,Condominiums,14,30000,1,5,32,32,1923, , 
2032130058,"2500 UNIVERSITY AVENUE
Bronx, NY 10468
(40.865273716626746, -73.9033164865928)",Con Edison,BANCO REALTY LLC,"NY-BRONX I, LLC","337 FLUSHING
NY 11358
(40.760350968822195, -73.79632645819947)",CB071805R,#N/A,ROCKMILLS MP4-133 (NEW),1,4.4,2005,2040,DUAL FUEL,5 to 10 years old,ICI DEG-42P ,#6,33617,23532,5043,3530,Yes,2013,Walk-Up Apartments,14,52805,1,5,58,58,1922, , 
2023310043,"349 149 STREET
Bronx, NY 10451
(40.81667954995552, -73.91966489573737)",Con Edison,COUGAR II ASSOC % NEWMARK KNIGHT,COUGAR II ASSOCIATES,"520 EIGHTH AVENUE
NEW YORK, NY 10018
(40.75376054978079, -73.99232896859803)",CB094506L,7/5/05,ROCKMILLS-MP-80 (NEW),2,2.6,2006,2041,DUAL FUEL,Fewer than 5 years old,ICI-MEG-34P (NEW),#6,33600,23520,5040,3528,Yes,2021,Elevator Apartments,17,72000,1,10,0,43,1927, , 
2030890001,"685 183 STREET
Bronx, NY 10458
(40.852212958769336, -73.88618098414776)",Con Edison,685 EAST 183RD ST. LLC.,WEST 145TH STREET ASS,"3601A FIELDSTON ROAD
BRONX, NY 10463
(40.88596252333503, -73.90701982281978)",CA101173H,7/6/05,ROCKMILLS MP-80,1,3.2,1973,2010, ,36 - 40 year old,IND. COMB  AM5CM,#4,33580,23506,4869,3408,,,Walk-Up Apartments,15,37392,1,6,45,45,1913, , 
2032140013,"2532 DR M L KING JR BOULEVARD
Bronx, NY 10468
(40.869693003729196, -73.89892699248668)",Con Edison,LANGSAM PROPERTY SERVICES,"BIG ROCK PARK, LLC",,CA378772L,7/5/05,ROCKMILLS MP-100,1,3.2,1972,2010, ,36 - 40 year old,HEV-E-OIL #AM6E  ( I.C.I. ),#6,33580,23506,5037,3526,,,Elevator Apartments,14,42730,1,5,56,57,1922, , 
2032140022,"2542 DR M L KING JR BOULEVARD
Bronx, NY 10468
(40.869693003729196, -73.89892699248668)",Con Edison,LANGSAM PROPERTY SVC.,"BIG ROCK PARK, LLC",,CA378572R,7/6/05,ROCKMILLS MP 100,1,3.2,1972,2010, ,36 - 40 year old,I.C.I AM 6E,#6,33580,23506,5037,3526,,,Elevator Apartments,14,42730,1,5,56,56,1922, , 
2032530063,"2719 SEDGWICK AVENUE
Bronx, NY 10468
(40.87015903945141, -73.90304549995044)",Con Edison,SEDGWICK AVENUE ASSOCIATES,SEDGWICK AVE ASSOCIAT,"222118 BRONX
NY 10452
(40.83772426336412, -73.9233322114124)",CA009584K,7/6/05,ROCKMILLS BOILER MP-70,1,3.1,1984,2019, ,26 to 30 years old,INDUST COMBUS ME-34-P,#6,33580,23506,5037,3526,Yes,2013,Elevator Apartments,14,137495,4,5,124,124,1922, , 
2033300073,"414 204 STREET
Bronx, NY 10467
(40.870984160572505, -73.87674851327267)",Con Edison,"GOJCEVIC, DAVID",414 EAST 204 LLC,"3156 PERRY AVENUE
BRONX, NY 10467
(40.87374110514228, -73.87787337661237)",CA359768P,7/4/05,ROCKMILLS MP100,1,4.2,1968,2010, ,41 - 45 years old,O & S 3HC-5,#4,33547,23483,4864,3405,Yes,2020,Walk-Up Apartments,11,53000,1,6,54,54,1928, , 
2059200670,"3801 HUDSON MANOR TERRACE
Bronx, NY 10463
(40.888545076653735, -73.91567337807614)",Con Edison,CORNELL APTS LLC.,CORNELL APTS LLC,"122 42 STREET
MANHATTAN, NY 10168
(40.75162499989386, -73.97596700007693)",CA369794H,7/5/05,FEDERAL  FLW 2429,1,8.55,1994,2029, ,16 to 20 years old,INDUSTRIAL COMB. DEG-84 (S),#6,33544,23481,5032,3522,Yes,2020,Elevator Apartments,11,152400,1,6,135,135,1960, , 
2038190050,"2267 HAVILAND AVENUE
Bronx, NY 10462
(40.8308001151334, -73.84859418594499)",Con Edison,A.J.CLARKE MANAGEMENT,HAVILAND ASSOCIATES L,"2123 WILLIAMSBRIDGE RD
BRONX, NY 10461
(40.85578463648523, -73.8555897748353)",CA005784R,7/6/05,ROCKMILLS MP 70,1,2.8,1984,2019, ,26 to 30 years old,I.C.I. MMG 34 P,#4,33455,23419,4851,3396,,,Elevator Apartments,18,33600,1,4,38,39,1920, , 
2049960041,"4254 CARPENTER AVENUE
Bronx, NY 10466
(40.895894906473, -73.85935162101411)",Con Edison,4064 REALTY,4254 CARPENTER LLC,"25 WEST45TH STREET
NEW YORK, NY 10025
(40.79685012763133, -73.96372581059762)",CA166280K,7/6/05,FEDERAL FST-80,1,2.8,1980,2015, ,26 to 30 years old,ICI DEG-42-YP,#4,33342,23339,4835,3384,,,Walk-Up Apartments,11,42294,1,6,49,49,1928, , 
2038090013,"2114 HAVILAND AVENUE
Bronx, NY 10472
(40.83010099909389, -73.85346309228963)",Con Edison,F M WEISS ,1935 HAVILAND LLC,"198 WESTCHESTER STA
BRONX, NY 10461
(40.84054431315492, -73.84125020140367)",CA173783H,7/5/05,ROCKMILLS MP4-61,1,2.6,1983,2018, ,26 to 30 years old,I.C.I. # MMG 34P,#4,33288,23302,4827,3379,,,Condominiums,18,28480,1,4,32,32,1920, , 
2028770516,"226 TREMONT AVENUE
Bronx, NY 10453
(40.85214083707918, -73.91749705555898)",Con Edison,1700 DEVELOPMENT CO,NORTH RIM LLC,,CA053682M,7/7/05,ROCKMILLS MP80,1,3.4,1982,2017, ,26 to 30 years old,ICI DEG 42P,#6,33000,23100,4950,3465,Yes,2017,Elevator Apartments,16,54000,1,6,49,49,1932, , 
2048220013,"4064 BRONX BOULEVARD
Bronx, NY 10466
(40.89134425437644, -73.86286883695992)",Con Edison,4064 REALTY COMPANY,4064 BRONX BLVD LLC,"8 WOODLAWN STATION
BRONX, NY 10470
(40.90012797192844, -73.8712277502604)",CA083075H,7/5/05,ROCKMILLS MP100,1,4.2,1975,2010, ,31 to 35 years old,IRON FIREMAN AO6-4.5,#4,33000,23100,4785,3350,Yes,2022,Loft Buildings,12,53600,1,6,55,56,1927, , 
2057660775,"3605 KINGSBRIDGE AVENUE
Bronx, NY 10463
(40.88393566095341, -73.90251154363709)",Con Edison,OMONIA REALTY CORP.,OMONIA REALTY CORP,"3605 KINGSBRIDGE AVENUE
BRONX, NY 10463
(40.88393566095341, -73.90251154363709)",CA391487Z,7/7/05,BEST 4B100,1,4.2,1987,2022, ,21 to 26 years old,ICI DEG 42 P,#6,33000,23100,4950,3465,Yes,2016,Elevator Apartments,11,65250,1,6,66,69,1929, , 
2028800061,"1501 UNDERCLIFF AVENUE
Bronx, NY 10453
(40.84553315398262, -73.92427250793882)",Con Edison,RESIDENTIAL MANAGEMENT,1501 UNDERCLIFF ASSOC,"1651 CONEY ISLAND AVE
BROOKLYN, NY 11230
(40.617134059024586, -73.96362996399334)",CA370585J,7/5/05,ROCKMILLS MP4186,1,7.89,1985,2020, ,21 to 26 years old,ICI DEG 84P,#6,33000,23100,4950,3465,Yes,2020,Walk-Up Apartments,16,129677,1,6,98,98,1929, , 
2057790815,"3810 GREYSTONE AVENUE
Bronx, NY 10463
(40.88827806749091, -73.90494041483724)",Con Edison,ROBERT E. HILL INC.,3810 GREYSTONE TENANT,"279 231 st STREET
BRONX, NY 10463
(40.880419334248025, -73.9076260517666)",CA251487Y,7/6/05,ROCKMILLS MP 70,1,2.84,1987,2022, ,21 to 26 years old,ICI DEG 42 YP,#6,33000,23100,4950,3465,,,Elevator Apartments,11,41068,1,6,44,44,1939, , 
2037130043,"1051 ELDER AVENUE
Bronx, NY 10472
(40.82494967116698, -73.87838043892246)",Con Edison,SOLOFF MANAGEMENT.,REDEL HOLDING CORP,"2562 BRIGGS AVENUE
BRONX, NY 10458
(40.863915448232135, -73.89343797788628)",CA352583R,7/6/05,ROCKMILLS MP80,1,3.4,1983,2018, ,26 to 30 years old,ICI DEG 42P,#6,33000,23100,4950,3465,,,Walk-Up Apartments,18,41200,1,6,49,49,1930, , 
2033320017,"3060 HULL AVENUE
Bronx, NY 10467
(40.87187281454631, -73.87907706358762)",Con Edison,HUNTER REALTY COMPANY,3060 REALTY LLC,"1624 WEBSTER AVENUE
BRONX, NY 10457
(40.84184033491622, -73.90412994919767)",CA000493Y,7/6/05,ROCKMILLS  MP-70,1,3.14,1993,2028, ,16 to 20 years old,ICI  DE 42 YP,#6,32996,23097,4949,3465,,,Elevator Apartments,11,46655,1,5,41,41,1926, , 
2032920045,"2979 MARION AVENUE
Bronx, NY 10458
(40.86969837170548, -73.88318037305763)",Con Edison, ALFA-NORTH REALTY CORP,2979 MARION LLC,"5925 BROADWAY
BRONX, NY 10463
(40.888406443876256, -73.899128719106)",CA056787M,7/6/05,FEDERAL FST 80,1,3.4,1987,2022, ,21 to 26 years old,HEVE MEG 34 P  ( I.C.I. ),#6,32850,22995,4928,3449,,,Elevator Apartments,11,43046,1,6,36,36,1938, , 
2024710024,"1035 GRAND
Bronx, NY 10452
(40.83772426336412, -73.9233322114124)",Con Edison,1035 REALTY CORP%MILEVOI,M 1035 C G LLC,"20 74 STEINWAY STREET
QUEENS, NY 11105
(40.780092072491186, -73.90960650023976)",CA056287X,7/7/05,FEDERAL FST 90,1,3.4,1987,2022, ,21 to 26 years old,I.C.I. MEG-42P,#6,32850,22995,4928,3449,,,Office Buildings,17,46623,1,6,50,52,1939, , 
2033330009,"3050 PERRY AVENUE
Bronx, NY 10467
(40.87233145069646, -73.87996880456888)",Con Edison,1071 HOME CORP.,TEN SEVENTY ONE HOMEC,"590 BRONX
NY 10463
(40.88187196282087, -73.91120748054078)",CA302087M,7/6/05,ROCKMILLS MP 70,1,2.9,1987,2022, ,21 to 26 years old,HEVE MMG 30,#4,32850,22995,4763,3334,,,Condominiums,11,36810,1,6,36,36,1927, , 
2028310044,"1384 GRAND
Bronx, NY 10456
(40.83772199138599, -73.9125120780107)",Con Edison,1362 -84 REALTY CORP.,1362-84 REALTY CORP.,"1362 GRAND
BRONX, NY 10456
(40.8372510364128, -73.91278837159497)",CA204787Y,7/6/05,FEDERAL FST 80,1,3.1,1987,2022, ,21 to 26 years old,HEVE MM 34 P,#4,32850,22995,4763,3334,,,Walk-Up Apartments,16,35480,1,5,44,47,1924, , 
2039230009,"1565 WHITE PLAINS ROAD
Bronx, NY 10462
(40.8397468445477, -73.8639148344914)",Con Edison,1500 REALTY ASSOCIATES,1500 REALTY ASSOCIATE,"1601 BRONXDALE AVENUE
BRONX, NY 10462
(40.84351657306597, -73.85691921749257)",CA201497M,7/5/05,FEDERAL FST-80,1,3.43,1997,2032,DUAL FUEL,11 to 15 years old,INDUSTRIAL COMB. MMG-34 P,#4,32850,22995,4763,3334,,,Walk-Up Apartments,18,31282,1,6,49,49,1927, , 
2028060001,"105 177 STREET
Bronx, NY 10453
(40.84968139327063, -73.90791375045586)",Con Edison,177 REALTY CO. L.L.C.,ABSYL REALTY LLC,"825 233 ST
BRONX, NY 10466
(40.89221310483329, -73.85355883486339)",CA157996L,7/7/05,FEDERAL  FST-100,1,4.07,1996,2031,DUAL FUEL,11 to 15 years old,HEVE DEG-42 (P),#6,32850,22995,4928,3449,,,Elevator Apartments,14,45060,1,6,46,46,1927, , 
2030260059,"373 188 STREET
Bronx, NY 10458
(40.8601342081018, -73.89365699361333)",Con Edison,188 PLAZA ASSOC/MANHATTAN MGMT,COB HOLDING LLC,"373 188 STREET
BRONX, NY 10458
(40.8601342081018, -73.89365699361333)",CA019495H,7/5/05,ROCKMILLS  MP-90,1,3.79,1995,2030,DUAL FUEL,11 to 15 years old,HEVE DEG-42 (P),#6,32850,22995,4928,3449,,,Elevator Apartments,15,44129,1,6,48,55,1923, , 
2031690059,"2055 CRESTON AVENUE
Bronx, NY 10453
(40.8530519695776, -73.904583562067)",Con Edison,2055 CRESTON AVENUE,2055 CRESTON AVENUE,"240 CABRINI BLVD
NEW YORK, NY 10033
(40.85528501366849, -73.93816280277332)",CA224582Z,7/6/05,FEDERAL  FST-100,1,4.2,1982,2017, ,26 to 30 years old,IND. COMB.  MEG 42 (P),#6,32850,22995,4928,3449,Yes,2019,Walk-Up Apartments,14,50049,1,5,55,61,1922, , 
2031570020,"2186 GRAND
Bronx, NY 10457
(40.84579837129786, -73.89832418681175)",Con Edison,"2186 REALTY NY, LLC",2186 REALTY NY LLC,"1920 NEW
YORK, NY 10119
(40.75075100005864, -73.99213700022233)",CA317286R,7/5/05,FEDERAL FST 90,1,3.4,1986,2021, ,21 to 26 years old,HEVE MEG 42 P  ( I.C.I. ),#6,32850,22995,4928,3449,,,Elevator Apartments,15,46495,1,6,54,54,1940, , 
2031460029,"2350 VALENTINE AVENUE
Bronx, NY 10458
(40.85818471555407, -73.89758031703107)",Con Edison,2350 VALENTINE REALTY CORP.,2350 VALENTINE RLTYCO,"1679 WHITE PLAINS
NY 10602
(41.02768599970915, -73.77355800000169)",CA204682H,7/5/05,FEDERAL  FST-100,1,4.2,1982,2017, ,26 to 30 years old,IRON FIREMAN AGO-6-4.2 RK,#6,32850,22995,4928,3449,,,Walk-Up Apartments,15,49260,1,6,49,49,1936, , 
2033150076,"2815 GRAND
Bronx, NY 10468
(40.86785065240455, -73.89951166617763)",Con Edison,2815 GRAND REALTY CORP.,HEIGHTS REALTY CO LLC,"191024 BROOKLYN
NY 11219
(40.63277295540763, -73.99667681118586)",CA095486K,7/5/05,FEDERAL FST 90,1,3.6,1986,2021, ,21 to 26 years old,HEVE DEG 42 P,#4,32850,22995,4763,3334,,,Elevator Apartments,15,49310,1,5,47,47,1921, , 
2032800013,"2962 DECATUR AVENUE
Bronx, NY 10458
(40.86829433307047, -73.88372781809554)",Con Edison,2962 Decatur Ave Owners Corp%Maxx Properties ,2962 DECATUR AVE OWNE,"600 MAMARONECK AVENUE
MAMARONECK, NY 10528
(40.97181109572365, -73.74294097398212)",CA062086K,7/5/05,FEDERAL  FLW 1033,1,3.6,1986,2021, ,21 to 26 years old,HEVEOIL  MEG-42  (S),#6,32850,22995,4928,3449,,,Condominiums,11,43195,1,6,74,74,1940, , 
2057380353,"3017 RIVERDALE AVENUE
Bronx, NY 10463
(40.88134103443018, -73.90959303532442)",Con Edison,3015-3017 RIVERDALE OWNER,3015-3017 OWNERS CORP,"2736 INDEPENDENCE AVE
RIVERDALE, NY 10463
(40.882258954549314, -73.91765023386792)",CA148897L,7/5/05,FEDERAL  FST-80,1,3.36,1997,2032,DUAL FUEL,11 to 15 years old,ST.JOHNSON FD69 CAHM (SIZE 75),#6,32850,22995,4928,3449,Yes,2018,Walk-Up Apartments,11,125148,2,6,121,121,1941, ,YES
2028650110,"40 FEATHERBED LANE
Bronx, NY 10452
(40.845833320960885, -73.91586095685365)",Con Edison,38 FED INC.,38-40 FEATHERBED LLC,"5925 BROADWAY
BRONX, NY 10463
(40.888406443876256, -73.899128719106)",CA195995R,7/5/05,ROCKMILLS  MP-80,1,3.43,1995,2030,DUAL FUEL,11 to 15 years old,HEVE  DEG-42 (P),#4,32850,22995,4763,3334,Yes,2015,Elevator Apartments,16,71800,1,6,59,61,1927, , 
2048190008,"3929 CARPENTER AVENUE
Bronx, NY 10466
(40.887537949358205, -73.86404303656413)",Con Edison,3929 CARPENTER AVE LLC.,3929 CARPENTER AVENUE,"129 ELMSFORD
NY 10523
(41.059941580639475, -73.81782969978076)",CA105188Z,7/4/05,  DERAL FST 80,1,3.4,1988,2023, ,21 to 26 years old,HEVE MMG 34 P,#4,32850,22995,4763,3334,,,Walk-Up Apartments,12,35040,1,6,36,36,1957, , 
2033260100,"55 MOSHOLU PARKWAY
Bronx, NY 10467
(40.8791248415252, -73.88302841746736)",Con Edison,55 E MOSHOLU PKWY NO ASSOC,55 EAST MOSHOLU PARKW,"1601 BRONXDALE AVENUE
BRONX, NY 10462
(40.84351657306597, -73.85691921749257)",CA228484N,7/6/05,FEDERAL FST-80,1,3.4,1984,2019, ,26 to 30 years old,I.C.I.  MEG-34-P,#6,32850,22995,4928,3449,Yes,2016,Walk-Up Apartments,11,51540,1,5,44,45,1924, , 
2027940019,"217 MOUNT EDEN PARKWAY
Bronx, NY 10457
(40.84307019943255, -73.90902034376107)",Con Edison,BARTON PAUL,MOUNT EDEN LLC,"5676 RIVERDALE AVENUE
BRONX, NY 10471
(40.90603192863733, -73.90429477417916)",CA009293K,7/6/05,FEDERAL FST-100,1,4.2,1993,2028, ,16 to 20 years old,IND.COMBUSTION  DEG-42-S,#6,32850,22995,4928,3449,,,Elevator Apartments,14,39000,1,6,50,50,1955, , 
2048210051,"4040 BRONX BOULEVARD
Bronx, NY 10466
(40.89093367501061, -73.86309775839653)",Con Edison,"BORRIOS & NEGROS, INC.",BERRIOS & NEGRON OF,"542 MAIN ST
NEW ROCHELLE, NY 10801
(40.90794031848401, -73.78299377983785)",CA385490Z,7/7/05,ROCKMILLS MP 90,1,3.43,1990,2025, ,16 to 20 years old,ICI  MMG 42P,#4,32850,22995,4763,3334,Yes,2021,Office Buildings,12,54177,1,6,58,58,1929, , 
2043470001,"2303 HOLLAND AVENUE
Bronx, NY 10467
(40.85972100025851, -73.865621539837)",Con Edison,CHAPPAQUA REALTY & MANAGEMENT,"SANSONE, THERESE ETAL","4 EVARTS AVE
ELMFORD, NY 10523
(41.05299212530926, -73.8150238658903)",CA188187N,7/6/05,FEDERAL FST 80,1,3.4,1987,2022, ,21 to 26 years old,HEVE MMG 34 P,#4,32850,22995,4763,3334,,,Factory & Industrial Buildings,13,36970,1,5,45,53,1928, , 
2033450019,"3156 PERRY AVENUE
Bronx, NY 10467
(40.87374110514228, -73.87787337661237)",Con Edison,DAVID D GOJCAJ,3156-58 PERRY LLC,"3156 PERRY AVENUE
BRONX, NY 10467
(40.87374110514228, -73.87787337661237)",CA686986L,7/6/05,FEDERAL FST 90,1,3.4,1986,2021, ,21 to 26 years old,HEVE MMG 42 P,#4,32850,22995,4763,3334,Yes,2015,Elevator Apartments,11,55000,1,5,51,51,1925, , 
2033500040,"3195 DECATUR AVENUE
Bronx, NY 10467
(40.873705886339835, -73.875719446799)",Con Edison,DAVID GOJCAJ,3195 DECATUR LLC,"3156 PERRY AVENUE
BRONX, NY 10467
(40.87374110514228, -73.87787337661237)",CA687286P,7/6/05,FEDERAL FST 80,1,3.1,1986,2021, ,21 to 26 years old,HEV-E-OIL MMG-34 P,#4,32850,22995,4763,3334,,,Elevator Apartments,11,44000,1,5,47,47,1927, , 
2031930024,"2065 DAVIDSON AVENUE
Bronx, NY 10453
(40.85442375685098, -73.9080067893416)",Con Edison,DOUGERT MGMT,WEST SIDE BRONX HOUSI,"2811 ZULETTE AVENUE
BRONX, NY 10461
(40.84206676900901, -73.83657671433792)",CA204193R,7/7/05,FEDERAL  FST-90,1,3.57,1993,2028, ,16 to 20 years old,HEVE  DEG-42 (P),#6,32850,22995,4928,3449,,,Walk-Up Apartments,14,31945,1,5,43,43,1925, , 
2028670118,"1750 GRAND AVENUE
Bronx, NY 10453
(40.84898282665944, -73.91365438891651)",Con Edison,ENF. 4/2/92,1750 GRAND LLC,"1750 GRAND AVENUE
BRONX, NY 10453
(40.84898282665944, -73.91365438891651)",CA344488Z,7/5/05,FEDERAL FST 80,1,3.4,1988,2023, ,21 to 26 years old,HEVE MMG 34 P,#4,32850,22995,4763,3334,,,Elevator Apartments,16,46500,1,5,52,52,1924, , 
2057380353,"3015 RIVERDALE AVENUE
Bronx, NY 10463
(40.88132962403102, -73.90960405226154)",Con Edison,EQUITY MGMT GROUP,3015-3017 OWNERS CORP,"3015 RIVERSIDE AVE
RIVERDALE, NY 10463
(40.88187196282087, -73.91120748054078)",CA149397J,7/5/05,FEDERAL  FST-80,1,3.36,1997,2032,DUAL FUEL,11 to 15 years old,ST.JOHNSON  FD69 CAHM (SIZE 75),#6,32850,22995,4928,3449,Yes,2018,Office Buildings,11,125148,2,6,121,121,1941, ,YES
2033120030,"134 MOSHOLU PARKWAY
Bronx, NY 10458
(40.87554093973353, -73.88348596745318)",Con Edison,ESKSBN CORP,ESKSBN CORP,"134 HOSHOLU PKWY
BRONX, NY 10458
(40.86260132868841, -73.88479001504714)",CA056687P,7/6/05,FEDERAL FST 80,1,3.4,1987,2022, ,21 to 26 years old,HEVE MEG 34 P,#6,32850,22995,4928,3449,,,Elevator Apartments,11,44720,1,5,48,48,1928, , 
